ids,predictions,CLUSTER_ID
33459950710,"2 : 0.32600734, 13 : 0.09499966, 13 : 0.072913416",12
49107137843,"3 : 0.4044025, 3 : 0.31530422, 3 : 0.17026004",12
49221521308,"9 : 0.22511522, 8 : 0.05852045, 9 : 0.047339242",12
47907933621,"8 : 0.6122971, 8 : 0.26577565, 8 : 0.0030367584",12
48721664252,"8 : 0.8119681, 8 : 0.072414525, 8 : 0.028296934",12
48780786328,"3 : 0.60687566, 2 : 0.09060099, 3 : 0.060418606",12
48881776813,"8 : 0.6956263, 8 : 0.10080954, 8 : 0.021048237",12
48882487837,"8 : 0.5751608, 8 : 0.16488048, 8 : 0.09473691",12
48887026021,"8 : 0.60716516, 8 : 0.33317882, 8 : 0.0037087307",12
48887025981,"8 : 0.38354644, 8 : 0.25663596, 8 : 0.13048857",12
48881784468,"8 : 0.91961837, 8 : 0.03383968, 8 : 0.01279422",12
48882300211,"8 : 0.5371903, 8 : 0.20577551, 8 : 0.111512154",12
49107838882,"8 : 0.11575831, 10 : 0.1142427, 2 : 0.053074945",2
25582813657,"13 : 0.09249209, 7 : 0.091108516, 7 : 0.059657328",2
29572531698,"13 : 0.66286266, 4 : 0.05521288, 4 : 0.0195529",12
40526414672,"1 : 0.19298692, 8 : 0.12740853, 11 : 0.10454825",12
33983272531,"12 : 0.104291834, 14 : 0.09509505, 7 : 0.076119766",4
48781333072,"12 : 0.93188566, 3 : 0.008733133, 12 : 0.008140071",12
48454415021,"1 : 0.28606915, 11 : 0.13005121, 8 : 0.12538372",4
38759528081,"12 : 0.6186998, 13 : 0.055032074, 1 : 0.045487233",12
39773381825,"9 : 0.5491826, 9 : 0.08274907, 8 : 0.064563215",2
25276284917,"2 : 0.1394257, 3 : 0.08191643, 3 : 0.056134354",4
37198266141,"1 : 0.25183865, 9 : 0.09763713, 4 : 0.09321074",12
29042202487,"7 : 0.8119828, 2 : 0.043781217, 4 : 0.039252453",12
34056296486,"3 : 0.26367584, 3 : 0.04229041, 3 : 0.039296426",12
48887026116,"7 : 0.27975926, 7 : 0.117576204, 7 : 0.101984166",12
48454572332,"8 : 0.26504722, 1 : 0.23401469, 11 : 0.045290947",4
32940897045,"2 : 0.86184657, 12 : 0.053720742, 13 : 0.02540873",4
32816539131,"3 : 0.33802947, 2 : 0.21778156, 3 : 0.06368092",4
39404907252,"11 : 0.49036694, 1 : 0.2527699, 11 : 0.101275675",12
33956517192,"7 : 0.74800295, 13 : 0.02585977, 12 : 0.020806858",4
48806062891,"12 : 0.904634, 2 : 0.0041322196, 4 : 0.0039066863",12
45847309111,"11 : 0.3946148, 1 : 0.21633914, 1 : 0.048930127",4
32242017876,"2 : 0.78466725, 2 : 0.06567682, 2 : 0.0235752",12
49579567001,"3 : 0.18485263, 7 : 0.16882981, 3 : 0.14115699",12
44785754375,"1 : 0.74544424, 1 : 0.18942747, 11 : 0.011400717",12
44975138274,"1 : 0.653822, 1 : 0.053652015, 11 : 0.019205436",12
35142277140,"12 : 0.24071766, 2 : 0.08844856, 12 : 0.07436089",2
48707783887,"12 : 0.06618303, 12 : 0.037652243, 9 : 0.034095682",2
39958558824,"9 : 0.22124606, 11 : 0.07100375, 11 : 0.032254063",12
48707784057,"2 : 0.74321115, 2 : 0.06034783, 2 : 0.045033455",2
48454414461,"1 : 0.3267106, 11 : 0.18005194, 2 : 0.08522739",4
42630190114,"8 : 0.9359508, 8 : 0.001934882, 8 : 0.0010097651",2
35528928185,"3 : 0.2717606, 2 : 0.15444146, 7 : 0.08321412",2
34687656724,"2 : 0.7201405, 2 : 0.24281703, 2 : 0.014198269",2
31878704624,"7 : 0.15956648, 10 : 0.09911975, 12 : 0.093941495",2
35361672052,"2 : 0.62072873, 12 : 0.36471975, 2 : 0.004365467",2
35142274660,"2 : 0.26185104, 3 : 0.10072701, 3 : 0.09831694",2
31908470443,"12 : 0.30425754, 3 : 0.13154717, 3 : 0.094868176",2
48707784847,"3 : 0.4889373, 3 : 0.0904024, 3 : 0.040266722",2
33506260725,"3 : 0.8253374, 2 : 0.04569022, 11 : 0.0067620655",2
31878701744,"3 : 0.4078668, 3 : 0.28670573, 3 : 0.0525304",2
30759309967,"7 : 0.18866117, 3 : 0.15303278, 7 : 0.08892634",12
35142282450,"7 : 0.35713682, 3 : 0.14588192, 3 : 0.13328464",2
35142272720,"3 : 0.27355948, 2 : 0.08187686, 6 : 0.033175234",2
40677711101,"9 : 0.8970034, 2 : 0.024906723, 13 : 0.0063983933",12
32681183526,"3 : 0.4217927, 3 : 0.1826676, 3 : 0.01830515",2
32341972400,"7 : 0.57504135, 2 : 0.035005763, 3 : 0.03465447",2
35142281110,"7 : 0.57228327, 7 : 0.32641226, 2 : 0.04136742",2
35142274780,"2 : 0.21224128, 7 : 0.20393416, 2 : 0.13177702",2
45277125171,"8 : 0.88159865, 8 : 0.012303174, 8 : 0.0074993246",12
32639528943,"7 : 0.19151019, 12 : 0.07701916, 4 : 0.05140483",2
33169488794,"13 : 0.10588657, 9 : 0.0412988, 13 : 0.024195973",2
33971635616,"2 : 0.29642746, 3 : 0.14623399, 3 : 0.07095158",2
33971611756,"7 : 0.23741369, 3 : 0.10740805, 4 : 0.10675224",2
33740020530,"3 : 0.34739634, 7 : 0.19201128, 3 : 0.1493638",2
33716154343,"7 : 0.46814454, 7 : 0.27621555, 3 : 0.08182689",2
33739355035,"2 : 0.6617703, 12 : 0.039218858, 3 : 0.018281806",2
33897475830,"1 : 0.3759425, 7 : 0.06551156, 2 : 0.039049596",2
36786188420,"11 : 0.53789335, 1 : 0.32789293, 11 : 0.02220474",12
30338602397,"8 : 0.77109545, 8 : 0.03810634, 8 : 0.032500822",12
30338601517,"8 : 0.8988445, 8 : 0.009160591, 8 : 0.0062505263",12
47537615882,"12 : 0.19306195, 9 : 0.1449036, 3 : 0.12423556",12
35732805735,"2 : 0.9995358, 3 : 0.00045788425, 2 : 4.6720314e-07",12
44554829184,"8 : 0.62193435, 8 : 0.102093324, 8 : 0.10048267",12
31468003408,"8 : 0.8423161, 8 : 0.048122372, 8 : 0.02563701",12
46866539704,"8 : 0.42236128, 9 : 0.061218847, 8 : 0.047229555",12
24259664447,"1 : 0.58345425, 2 : 0.120286785, 1 : 0.09360755",12
32996626423,"7 : 0.5358224, 3 : 0.17065133, 7 : 0.08184911",12
43462476630,"8 : 0.7540037, 8 : 0.057532232, 8 : 0.04924955",12
46675049775,"1 : 0.93127555, 11 : 0.021704925, 9 : 0.009818263",12
47537616022,"11 : 0.4418156, 9 : 0.36887065, 1 : 0.0490595",12
32902281301,"13 : 0.5865012, 2 : 0.31083557, 13 : 0.013598101",12
42675026981,"2 : 0.37190688, 11 : 0.16564178, 4 : 0.016225321",12
46866539504,"1 : 0.2914999, 11 : 0.088157624, 11 : 0.054523014",12
