id,predictions,CLUSTER_ID
2.18850422086546E+018,"7 : 0.3626866, 2 : 0.3517687, 2 : 0.06963662",15
2.18495120848217E+018,"3 : 0.21981771, 3 : 0.07115125, 10 : 0.057324287",15
2.17900745488986E+018,"12 : 0.07829243, 2 : 0.068125024, 7 : 0.033343785",15
2.17770032886935E+018,"3 : 0.16803886, 3 : 0.07255365, 3 : 0.0705319",15
2.17623876439184E+018,"2 : 0.059283964, 7 : 0.050354593, 7 : 0.038388688",15
2.17349106526606E+018,"2 : 0.19939049, 13 : 0.058546916, 2 : 0.037855025",15
2.17175225234209E+018,"10 : 0.5311036, 2 : 0.03700175, 10 : 0.03041232",15
2.16821133856484E+018,"3 : 0.42875242, 3 : 0.0718056, 3 : 0.053673487",15
2.16690396844434E+018,"3 : 0.2811584, 3 : 0.2620177, 3 : 0.1408819",15
2.16682503718833E+018,"3 : 0.372964, 3 : 0.22628605, 3 : 0.040297516",15
2.1660502567401E+018,"3 : 0.3791778, 2 : 0.06648181, 3 : 0.04305768",15
2.1572295309206E+018,"3 : 0.9763557, 3 : 0.0022447335, 3 : 0.001578296",15
2.15432869797135E+018,"3 : 0.5394099, 3 : 0.2756589, 6 : 0.02231774",15
2.15219200097439E+018,"7 : 0.28495002, 7 : 0.17912437, 7 : 0.17310384",15
2.1492543650645E+018,"3 : 0.8458449, 3 : 0.056526635, 3 : 0.018253278",15
2.14895793396108E+018,"4 : 0.37436226, 2 : 0.30220369, 2 : 0.14743029",15
2.1444661435644E+018,"7 : 0.10290728, 13 : 0.07055101, 2 : 0.059363067",15
2.14223566006774E+018,"3 : 0.5110554, 7 : 0.15984492, 7 : 0.04139367",15
2.13996789466108E+018,"3 : 0.6884657, 3 : 0.1812134, 3 : 0.02123704",15
2.13636153052078E+018,"3 : 0.5041614, 3 : 0.27235958, 3 : 0.05024179",15
2.1349937759074E+018,"2 : 0.18500331, 8 : 0.08911706, 3 : 0.08500682",15
2.13403611825603E+018,"2 : 0.85096526, 7 : 0.107326314, 12 : 0.007780473",15
2.1276601021368E+018,"3 : 0.26619846, 3 : 0.25089204, 3 : 0.1298658",15
2.12551640917273E+018,"3 : 0.90541923, 3 : 0.06717288, 3 : 0.0036086238",15
2.12389013108034E+018,"3 : 0.72940767, 3 : 0.15461239, 3 : 0.009096608",15
2.10578112198284E+018,"3 : 0.21129918, 12 : 0.07354087, 3 : 0.031302076",15
2.09574709111632E+018,"10 : 0.11191521, 6 : 0.049678843, 9 : 0.021843571",15
2.09235038072905E+018,"3 : 0.11746625, 3 : 0.09098447, 3 : 0.0873978",15
2.09219816982288E+018,"3 : 0.5559454, 3 : 0.06332011, 2 : 0.03318652",15
2.07834225132655E+018,"14 : 0.116492294, 2 : 0.09232466, 7 : 0.0737496",15
2.07193587030656E+018,"2 : 0.87135404, 2 : 0.12712081, 7 : 0.000344944",15
2.06525132951271E+018,"9 : 0.67999285, 3 : 0.23974209, 3 : 0.017496016",15
2.06262199547401E+018,"2 : 0.9666521, 4 : 0.017817661, 2 : 0.0018020986",15
2.05654090618154E+018,"3 : 0.5486252, 3 : 0.105903216, 9 : 0.0449576",15
2.04355142556428E+018,"3 : 0.42746785, 3 : 0.17930324, 3 : 0.06623786",15
2.03352698575533E+018,"3 : 0.3264423, 3 : 0.044549022, 7 : 0.038399465",15
2.025384864427E+018,"3 : 0.106710926, 3 : 0.0794905, 3 : 0.048892364",15
