field_1,lat,lng,label,cores,CLUSTER_ID,CLUSTER_SIZE,CLUSTER_ID_2,CLUSTER_SIZE_2
"10663",45.0612,7.6806,"1","1","14","6064","4","522"
"10668",45.061252,7.682505,"1","1","14","6064","4","522"
"10670",45.061274,7.679266,"1","1","14","6064","4","522"
"10671",45.061287,7.676836,"1","1","14","6064","4","522"
"10673",45.061297,7.677258,"1","1","14","6064","4","522"
"10674",45.061302,7.676591,"1","1","14","6064","4","522"
"10675",45.061305,7.677425,"1","1","14","6064","4","522"
"10676",45.061305,7.677425,"1","1","14","6064","4","522"
"10677",45.061305,7.677425,"1","1","14","6064","4","522"
"10678",45.061305,7.677425,"1","1","14","6064","4","522"
"10679",45.061305,7.677425,"1","1","14","6064","4","522"
"10680",45.061305,7.677425,"1","1","14","6064","4","522"
"10681",45.061305,7.683036,"1","1","14","6064","4","522"
"10682",45.061325,7.683152,"1","1","14","6064","4","522"
"10684",45.061351,7.677834,"1","1","14","6064","4","522"
"10685",45.061358,7.677639,"1","1","14","6064","4","522"
"10686",45.061381,7.674636,"1","1","14","6064","4","522"
"10687",45.061383,7.676486,"1","1","14","6064","4","522"
"10689",45.061394,7.674811,"1","1","14","6064","4","522"
"10692",45.061426,7.67807,"1","1","14","6064","4","522"
"10693",45.061472,7.683026,"1","1","14","6064","4","522"
"10694",45.061485,7.674445,"1","1","14","6064","4","522"
"10695",45.061486,7.677665,"1","1","14","6064","4","522"
"10697",45.061508,7.678125,"1","1","14","6064","4","522"
"10699",45.061548,7.68043,"1","1","14","6064","4","522"
"10700",45.061555,7.677951,"1","1","14","6064","4","522"
"10703",45.061575,7.674911,"1","1","14","6064","4","522"
"10705",45.061588,7.673269,"1","1","14","6064","4","522"
"10709",45.061627,7.673302,"1","1","14","6064","4","522"
"10710",45.061641,7.678167,"1","1","14","6064","4","522"
"10711",45.061654,7.674862,"1","1","14","6064","4","522"
"10712",45.061666,7.681111,"1","1","14","6064","4","522"
"10717",45.061713,7.6747,"1","1","14","6064","4","522"
"10728",45.061775,7.679786,"1","1","14","6064","4","522"
"10729",45.061783,7.679441,"1","1","14","6064","4","522"
"10732",45.061819,7.681719,"1","1","14","6064","4","522"
"10734",45.061825,7.68168,"1","1","14","6064","4","522"
"10736",45.061836,7.685886,"1","1","14","6064","2","2053"
"10739",45.061883,7.686425,"1","1","14","6064","2","2053"
"10740",45.061889,7.681868,"1","1","14","6064","4","522"
"10742",45.061899,7.686486,"1","1","14","6064","2","2053"
"10743",45.061908,7.675136,"1","1","14","6064","4","522"
"10745",45.061919,7.685719,"1","1","14","6064","2","2053"
"10746",45.061924,7.685855,"1","1","14","6064","2","2053"
"10747",45.061924,7.685902,"1","1","14","6064","2","2053"
"10749",45.061927,7.685863,"1","1","14","6064","2","2053"
"10750",45.06193,7.685886,"1","1","14","6064","2","2053"
"10751",45.061936,7.685863,"1","1","14","6064","2","2053"
"10753",45.061949,7.685883,"1","1","14","6064","2","2053"
"10754",45.061955,7.686619,"1","1","14","6064","2","2053"
"10756",45.061964,7.684464,"1","1","14","6064","2","2053"
"10757",45.061969,7.6859,"1","1","14","6064","2","2053"
"10759",45.061986,7.681713,"1","1","14","6064","4","522"
"10761",45.061991,7.685925,"1","1","14","6064","2","2053"
"10762",45.062,7.685905,"1","1","14","6064","2","2053"
"10763",45.062008,7.676658,"1","1","14","6064","4","522"
"10766",45.062016,7.685922,"1","1","14","6064","2","2053"
"10767",45.062016,7.685922,"1","1","14","6064","2","2053"
"10768",45.062019,7.685891,"1","1","14","6064","2","2053"
"10769",45.062027,7.685905,"1","1","14","6064","2","2053"
"10770",45.062058,7.680922,"1","1","14","6064","4","522"
"10771",45.062063,7.685981,"1","1","14","6064","2","2053"
"10772",45.062063,7.685981,"1","1","14","6064","2","2053"
"10773",45.062063,7.685981,"1","1","14","6064","2","2053"
"10774",45.062063,7.685981,"1","1","14","6064","2","2053"
"10775",45.062063,7.685981,"1","1","14","6064","2","2053"
"10776",45.062063,7.685981,"1","1","14","6064","2","2053"
"10777",45.062063,7.685981,"1","1","14","6064","2","2053"
"10778",45.062063,7.685981,"1","1","14","6064","2","2053"
"10780",45.062088,7.679625,"1","1","14","6064","4","522"
"10781",45.062088,7.68095,"1","1","14","6064","4","522"
"10786",45.062113,7.68083,"1","1","14","6064","4","522"
"10788",45.062133,7.676447,"1","1","14","6064","4","522"
"10789",45.062144,7.6796,"1","1","14","6064","4","522"
"10791",45.062183,7.680858,"1","1","14","6064","4","522"
"10792",45.062184,7.680187,"1","1","14","6064","4","522"
"10799",45.062202,7.676352,"1","1","14","6064","4","522"
"10814",45.062269,7.679314,"1","1","14","6064","4","522"
"10822",45.062272,7.676725,"1","1","14","6064","4","522"
"10823",45.062286,7.680236,"1","1","14","6064","4","522"
"10824",45.062294,7.676483,"1","1","14","6064","4","522"
"10825",45.062305,7.676513,"1","1","14","6064","4","522"
"10826",45.062306,7.678542,"1","1","14","6064","4","522"
"10827",45.062313,7.678444,"1","1","14","6064","4","522"
"10828",45.062327,7.677238,"1","1","14","6064","4","522"
"10831",45.062344,7.685308,"1","1","14","6064","2","2053"
"10832",45.062363,7.679727,"1","1","14","6064","4","522"
"10845",45.062412,7.67704,"1","1","14","6064","4","522"
"10848",45.062425,7.678633,"1","1","14","6064","4","522"
