name,lat,lon,count,ID_QU_C_SI,TAVOLA_BN,TAVOLA_CO
"0",45.04454054,7.68475739,"7","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"0",45.04454054,7.68475739,"7",,,
"0",45.04454054,7.68475739,"7",,"10",
"1",45.0571399,7.69376,"15","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"1",45.0571399,7.69376,"15",,,
"1",45.0571399,7.69376,"15",,"10",
"2",45.0751444,7.6372028,"2","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"2",45.0751444,7.6372028,"2",,,
"2",45.0751444,7.6372028,"2",,"10",
"3",45.0650818788,7.6692546522,"15","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"3",45.0650818788,7.6692546522,"15",,,
"3",45.0650818788,7.6692546522,"15",,"10",
"4",45.0288472699,7.6637579128,"233","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"4",45.0288472699,7.6637579128,"233",,,
"4",45.0288472699,7.6637579128,"233",,"10",
"5",45.0907533748,7.6955125271,"786","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"5",45.0907533748,7.6955125271,"786",,,
"5",45.0907533748,7.6955125271,"786",,"10",
"6",45.0429601477,7.6517800678,"153","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"6",45.0429601477,7.6517800678,"153",,,
"6",45.0429601477,7.6517800678,"153",,"10",
