field_1,lat,lng,ids,predictions,label,cores,CLUSTER_ID,CLUSTER_SIZE,layer,path
"0",45.021581,7.668113,"48853693093","9 : 0.771836, 5 : 0.038910042, 4 : 0.029154144","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"1",45.023108,7.668669,"40888358093","13 : 0.5204463, 13 : 0.02884227, 8 : 0.02430947","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"2",45.023108,7.668669,"40888357913","13 : 0.97802645, 13 : 0.0017179637, 13 : 0.0017137509","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"3",45.023108,7.668669,"46938714965","13 : 0.94438505, 2 : 0.0039915405, 13 : 0.0027415866","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"4",45.023108,7.668669,"40888357703","13 : 0.9955324, 13 : 0.0012471462, 7 : 0.0004940661","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"5",45.023108,7.668669,"46938714655","13 : 0.27591944, 7 : 0.2747926, 13 : 0.10164123","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"6",45.023108,7.668669,"40888357273","2 : 0.66566515, 13 : 0.06223651, 8 : 0.024047472","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"7",45.023108,7.668669,"47854998681","13 : 0.21257105, 13 : 0.109851204, 7 : 0.08528106","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"8",45.023108,7.668669,"47802860512","13 : 0.2805229, 13 : 0.057184387, 13 : 0.053843524","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"9",45.023108,7.668669,"47802860262","13 : 0.9454862, 13 : 0.0022066042, 13 : 0.0020535658","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"10",45.023108,7.668669,"47802859872","13 : 0.99714464, 13 : 0.00036922493, 8 : 0.0001399303","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"11",45.023108,7.668669,"47802859692","13 : 0.44790688, 14 : 0.037754856, 13 : 0.029226005","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"12",45.023108,7.668669,"47802859482","13 : 0.17140836, 13 : 0.037509143, 7 : 0.03679335","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"13",45.023108,7.668669,"46938714205","13 : 0.42314076, 13 : 0.0504339, 7 : 0.02753532","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"14",45.023108,7.668669,"47802860072","13 : 0.99507433, 13 : 0.00042734313, 13 : 0.0002816688","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"15",45.023371,7.669023,"49614085636","13 : 0.12758528, 2 : 0.079623014, 14 : 0.021610638","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"16",45.023371,7.669023,"49608800862","9 : 0.6359469, 7 : 0.043457404, 7 : 0.02223917","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"17",45.023371,7.669023,"49608033513","13 : 0.31686255, 13 : 0.07258668, 12 : 0.03664197","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
