lat,lng,ids,predictions,label,CLUSTER_ID
45.06954,7.68792,"2,20544320571831E+018","2 : 0.2716765, 2 : 0.19478327, 2 : 0.168801",0,16
45.06954,7.68792,"2,20528200964801E+018","2 : 0.54212576, 2 : 0.08781575, 6 : 0.061618328",0,16
45.06954,7.68792,"2,20291588437316E+018","2 : 0.68102646, 3 : 0.13618165, 7 : 0.06675578",0,16
45.06954,7.68792,"2,20167275137945E+018","12 : 0.66946965, 2 : 0.046003573, 2 : 0.03959762",0,16
45.06954,7.68792,"2,20113586513306E+018","2 : 0.3488182, 7 : 0.15359299, 13 : 0.14460188",0,16
45.06954,7.68792,"2,1994484112128E+018","2 : 0.78527135, 7 : 0.046420395, 3 : 0.006758119",0,16
45.06954,7.68792,"2,19855474359338E+018","3 : 0.78858453, 2 : 0.13317038, 7 : 0.0030085917",0,16
45.06954,7.68792,"2,1981852265098E+018","2 : 0.78999346, 7 : 0.066075735, 2 : 0.019922463",0,16
45.06954,7.68792,"2,19808272816381E+018","2 : 0.31251633, 7 : 0.29335564, 2 : 0.09041472",0,16
45.06954,7.68792,"2,19493467400301E+018","2 : 0.3527984, 4 : 0.14443319, 7 : 0.050167084",0,16
45.06954,7.68792,"2,19447269373113E+018","7 : 0.36330426, 7 : 0.26629484, 2 : 0.1859324",0,16
45.06954,7.68792,"2,19362945322207E+018","2 : 0.6685925, 2 : 0.045151904, 7 : 0.03634844",0,16
45.06954,7.68792,"2,19362801255422E+018","2 : 0.7834955, 3 : 0.018535003, 2 : 0.015028164",0,16
45.06954,7.68792,"2,1884707279389E+018","2 : 0.36711133, 2 : 0.05137477, 2 : 0.045774836",0,16
45.06954,7.68792,"2,18507851334268E+018","3 : 0.16125686, 2 : 0.12545602, 7 : 0.09233302",0,16
45.06954,7.68792,"2,17905831615261E+018","7 : 0.79835045, 2 : 0.034160413, 7 : 0.007282768",0,16
45.06954,7.68792,"2,17192657659439E+018","2 : 0.51033765, 7 : 0.055394776, 3 : 0.042420592",0,16
45.06954,7.68792,"2,17124014173412E+018","3 : 0.6527753, 8 : 0.037919518, 3 : 0.021373283",0,16
45.06954,7.68792,"2,16896324915298E+018","7 : 0.21280876, 7 : 0.18261276, 7 : 0.14655977",0,16
45.06954,7.68792,"2,16761056361457E+018","2 : 0.9288461, 2 : 0.009425506, 2 : 0.004531143",0,16
45.06954,7.68792,"2,16548824796323E+018","9 : 0.20313658, 7 : 0.09687934, 7 : 0.064929694",0,16
45.06954,7.68792,"2,16541197540895E+018","2 : 0.2576345, 4 : 0.03360498, 7 : 0.02514915",0,16
45.06954,7.68792,"2,16541132700329E+018","7 : 0.462879, 7 : 0.33133766, 2 : 0.07798873",0,16
45.06954,7.68792,"2,16468726432054E+018","7 : 0.9277717, 7 : 0.025368305, 13 : 0.0063162968",0,16
45.06954,7.68792,"2,16468685638242E+018","7 : 0.93436766, 7 : 0.025039863, 2 : 0.0056603584",0,16
45.06954,7.68792,"2,16465212533077E+018","2 : 0.54711664, 7 : 0.009046808, 2 : 0.0059755556",0,16
45.06954,7.68792,"2,16399257699111E+018","7 : 0.41074717, 7 : 0.28641212, 2 : 0.03214534",0,16
45.06954,7.68792,"2,16399208980575E+018","7 : 0.41679156, 7 : 0.2674346, 2 : 0.032686528",0,16
45.06954,7.68792,"2,16263286174892E+018","3 : 0.18202071, 8 : 0.08176115, 7 : 0.057271373",0,16
45.06954,7.68792,"2,16251688636596E+018","7 : 0.70985204, 7 : 0.13524036, 3 : 0.019623648",0,16
45.06954,7.68792,"2,16182844061393E+018","7 : 0.5790634, 2 : 0.05271658, 2 : 0.045146",0,16
45.06954,7.68792,"2,16097102953145E+018","7 : 0.21374215, 2 : 0.18332443, 1 : 0.09683971",0,16
45.06954,7.68792,"2,16096541355145E+018","2 : 0.37842575, 13 : 0.109595925, 13 : 0.09671424",0,16
45.06954,7.68792,"2,16030428101465E+018","7 : 0.483225, 2 : 0.08955432, 3 : 0.088300966",0,16
45.06954,7.68792,"2,15890518510824E+018","7 : 0.2677393, 2 : 0.10415711, 7 : 0.0925777",0,16
45.06954,7.68792,"2,15667543839157E+018","7 : 0.65165955, 7 : 0.07247028, 7 : 0.025621824",0,16
45.06954,7.68792,"2,15658779195023E+018","2 : 0.5141254, 7 : 0.1812039, 2 : 0.023728771",0,16
45.06954,7.68792,"2,15605756639284E+018","7 : 0.90652245, 7 : 0.04847679, 4 : 0.0047579804",0,16
45.06954,7.68792,"2,15096805746877E+018","7 : 0.384777, 7 : 0.27652302, 3 : 0.057158925",0,16
45.06954,7.68792,"2,15089569590157E+018","7 : 0.38958696, 7 : 0.14506343, 9 : 0.07232122",0,16
45.06954,7.68792,"2,14791507901071E+018","2 : 0.111537136, 2 : 0.06782854, 2 : 0.042457435",0,16
45.06954,7.68792,"2,14724690922874E+018","7 : 0.3275611, 2 : 0.29353458, 2 : 0.1700741",0,16
45.06954,7.68792,"2,14655425960129E+018","2 : 0.23257177, 5 : 0.06454126, 7 : 0.063488394",0,16
