lat,lng,ids,predictions,label,CLUSTER_ID
45.0236624479,7.645894289,2210511177461740111,"8 : 0.738495, 8 : 0.049547475, 9 : 0.031740308",0,14.0
45.0236624479,7.645894289,2210452098357048861,"9 : 0.39642408, 1 : 0.053313892, 13 : 0.05078907",0,14.0
45.0236624479,7.645894289,2210277219183046230,"1 : 0.8695825, 8 : 0.0113177225, 11 : 0.009960803",0,14.0
45.0236624479,7.645894289,2209956787965632346,"2 : 0.09106616, 7 : 0.064261034, 13 : 0.059207126",0,14.0
45.0236624479,7.645894289,2209868186514368514,"9 : 0.09623447, 9 : 0.065367796, 13 : 0.04463714",0,14.0
45.0236624479,7.645894289,2209610712778250071,"9 : 0.2472054, 1 : 0.19207236, 13 : 0.118209064",0,14.0
45.0236624479,7.645894289,2209158707491768747,"9 : 0.28663024, 2 : 0.17271094, 11 : 0.13897116",0,14.0
45.0236624479,7.645894289,2209095237851852436,"9 : 0.28806365, 7 : 0.14640683, 7 : 0.030601157",0,14.0
45.0236624479,7.645894289,2209083007135092372,"1 : 0.14857775, 11 : 0.12953041, 8 : 0.106492326",0,14.0
45.0236624479,7.645894289,2208895253620751650,"10 : 0.37188858, 7 : 0.10933624, 8 : 0.033226833",0,14.0
45.0236624479,7.645894289,2208771494541052173,"4 : 0.26043266, 12 : 0.031879205, 9 : 0.01736471",0,14.0
45.0236624479,7.645894289,2208442238313326837,"9 : 0.584392, 4 : 0.10502807, 13 : 0.018803352",0,14.0
45.0236624479,7.645894289,2208376447609976002,"9 : 0.23714608, 1 : 0.15718168, 11 : 0.08317151",0,14.0
45.0236624479,7.645894289,2208253876379856135,"9 : 0.65374094, 3 : 0.011111168, 9 : 0.01072116",0,14.0
45.0236624479,7.645894289,2207722031496060530,"1 : 0.46621612, 9 : 0.21042113, 7 : 0.069419876",0,14.0
45.0236624479,7.645894289,2207608166351562808,"4 : 0.4205553, 2 : 0.18709055, 13 : 0.026425745",0,14.0
45.0236624479,7.645894289,2207568409449794974,"11 : 0.08059802, 2 : 0.037195854, 9 : 0.035289094",0,14.0
45.0236624479,7.645894289,2207423955615113942,"7 : 0.71480685, 4 : 0.053679734, 7 : 0.021062162",0,14.0
45.0236624479,7.645894289,2207371522428099184,"4 : 0.11638632, 1 : 0.052472457, 9 : 0.02493795",0,14.0
45.0236624479,7.645894289,2206750257128767323,"7 : 0.67853487, 7 : 0.030887691, 13 : 0.022510964",0,14.0
45.0236624479,7.645894289,2206669493429336771,"9 : 0.4503231, 1 : 0.06722678, 9 : 0.062026933",0,14.0
45.0236624479,7.645894289,2206649333953218723,"7 : 0.28320497, 7 : 0.089439765, 7 : 0.088355824",0,14.0
45.0236624479,7.645894289,2206560494920380455,"2 : 0.11450375, 8 : 0.064719304, 9 : 0.061397497",0,14.0
45.0236624479,7.645894289,2206258183614088468,"9 : 0.21008259, 2 : 0.10574981, 2 : 0.08678834",0,14.0
45.0236624479,7.645894289,2206123330265037206,"2 : 0.33028674, 9 : 0.08606277, 11 : 0.064193815",0,14.0
45.0236624479,7.645894289,2206080367984356337,"7 : 0.854646, 7 : 0.05645943, 7 : 0.03476929",0,14.0
45.0236624479,7.645894289,2206020476223477701,"8 : 0.14950424, 7 : 0.039387975, 9 : 0.03897261",0,14.0
45.0236624479,7.645894289,2205899569196284296,"12 : 0.3357859, 2 : 0.10322452, 12 : 0.09030279",0,14.0
45.0236624479,7.645894289,2205575247475377900,"7 : 0.5176109, 7 : 0.29606542, 1 : 0.064432524",0,14.0
45.0236624479,7.645894289,2205425163248460861,"9 : 0.43548772, 7 : 0.043007027, 8 : 0.038424984",0,14.0
45.0236624479,7.645894289,2205334852409603248,"4 : 0.062277146, 13 : 0.045346316, 9 : 0.030256217",0,14.0
45.0236624479,7.645894289,2205167914309943987,"7 : 0.34519684, 7 : 0.105963685, 7 : 0.065555595",0,14.0
45.0236624479,7.645894289,2204783406341121028,"9 : 0.2203116, 7 : 0.082443774, 13 : 0.05993609",0,14.0
45.0236624479,7.645894289,2204767548707818745,"13 : 0.12258356, 7 : 0.04350665, 12 : 0.04154917",0,14.0
45.0236624479,7.645894289,2204679786572356074,"9 : 0.36598215, 1 : 0.040655684, 5 : 0.015179168",0,14.0
45.0236624479,7.645894289,2204429974010606118,"9 : 0.352959, 8 : 0.034194663, 8 : 0.028072996",0,14.0
45.0236624479,7.645894289,2204036333538762067,"4 : 0.73986, 9 : 0.042894933, 13 : 0.027532356",0,14.0
45.0236624479,7.645894289,2203969189174148587,"1 : 0.10640472, 8 : 0.08103553, 11 : 0.051591493",0,14.0
45.0236624479,7.645894289,2203859707320560484,"7 : 0.18608832, 2 : 0.07767754, 7 : 0.07016222",0,14.0
45.0236624479,7.645894289,2203806384227757604,"4 : 0.63024586, 9 : 0.27503747, 13 : 0.0021890602",0,14.0
45.0236624479,7.645894289,2203403394601803630,"1 : 0.15779911, 9 : 0.08542783, 13 : 0.04062075",0,14.0
45.0236624479,7.645894289,2203251973197707416,"9 : 0.1692239, 8 : 0.16788201, 4 : 0.047601666",0,14.0
45.0236624479,7.645894289,2203109651460443328,"2 : 0.37175056, 2 : 0.15464789, 8 : 0.039480813",0,14.0
45.0236624479,7.645894289,2202674333508198591,"9 : 0.2667841, 9 : 0.16900289, 4 : 0.061496016",0,14.0
45.0236624479,7.645894289,2202561681859573827,"9 : 0.11111198, 13 : 0.06279175, 1 : 0.060579002",0,14.0
45.0236624479,7.645894289,2202457036464673096,"9 : 0.22865935, 2 : 0.20413204, 2 : 0.068488345",0,14.0
45.0236624479,7.645894289,2202396151857256996,"8 : 0.69062114, 8 : 0.20036195, 2 : 0.039106093",0,14.0
45.0236624479,7.645894289,2202285840645289285,"9 : 0.3396413, 8 : 0.09240939, 9 : 0.02300178",0,14.0
45.0236624479,7.645894289,2201904657626991318,"9 : 0.22960624, 1 : 0.10840288, 11 : 0.035899814",0,14.0
