field_1,lat,lng,label,cores,predictions,ids,CLUSTER_ID
19843,45.016547,7.757494,1,1,"2 : 0.11888126, 10 : 0.0823825, 10 : 0.08001526",34407559650,
19844,45.016758,7.757341,1,1,"12 : 0.5129716, 7 : 0.28820357, 7 : 0.022186339",47669976382,
19845,45.017086,7.757661,1,1,"13 : 0.20262146, 2 : 0.019429151, 13 : 0.019240782",31928840527,
19846,45.0171,7.757511,1,1,"13 : 0.15338255, 7 : 0.084993675, 3 : 0.070290685",43948774980,
19847,45.017166,7.757752,1,1,"13 : 0.07795775, 10 : 0.06534765, 7 : 0.058905505",49186595443,
19848,45.017191,7.7575,1,1,"7 : 0.92524356, 7 : 0.0071975207, 7 : 0.004365657",32985811478,
19849,45.017191,7.7575,1,1,"7 : 0.92524356, 7 : 0.0071975207, 7 : 0.004365657",46861101981,
19850,45.017205,7.757577,1,1,"2 : 0.46327186, 7 : 0.06673952, 13 : 0.048175823",41365781171,
19851,45.017219,7.757872,1,1,"12 : 0.83466446, 7 : 0.041675534, 2 : 0.00763365",48446693232,
19852,45.01723,7.757611,1,1,"12 : 0.8468651, 7 : 0.0076316996, 12 : 0.005165625",34774285985,
19853,45.017241,7.757547,1,1,"7 : 0.32942075, 12 : 0.040839575, 2 : 0.028833259",40702042573,
19854,45.017258,7.757619,1,1,"12 : 0.36841866, 7 : 0.11123705, 12 : 0.034494694",31844340607,
19855,45.017266,7.757819,1,1,"2 : 0.22884664, 7 : 0.17676437, 2 : 0.04657216",48446256956,
19856,45.017269,7.757455,1,1,"7 : 0.90417445, 7 : 0.004010251, 2 : 0.0028456156",48726482427,
19857,45.017269,7.757672,1,1,"7 : 0.58680636, 7 : 0.052760642, 3 : 0.022604303",48446208467,
19858,45.017277,7.757766,1,1,"7 : 0.36309338, 7 : 0.32659805, 7 : 0.008788488",46851842462,
19859,45.01728,7.757663,1,1,"2 : 0.20478368, 2 : 0.07382372, 7 : 0.06726545",40702041643,
19860,45.017291,7.757558,1,1,"7 : 0.9387962, 7 : 0.00851331, 13 : 0.001706754",46806488075,
19861,45.017291,7.757669,1,1,"2 : 0.23213825, 12 : 0.1128251, 12 : 0.07732247",47695073262,
19862,45.017291,7.757716,1,1,"2 : 0.10387194, 2 : 0.05336989, 7 : 0.049072348",48720648753,
19863,45.017319,7.757722,1,1,"2 : 0.7385383, 2 : 0.0987386, 3 : 0.0148124015",32805843027,
19864,45.017325,7.757747,1,1,"13 : 0.4491993, 7 : 0.093423925, 3 : 0.066823766",46192250545,
19865,45.017325,7.757747,1,1,"13 : 0.44919935, 7 : 0.093423985, 3 : 0.066823676",46697267262,
19866,45.017355,7.757805,1,1,"12 : 0.5511624, 7 : 0.14741307, 2 : 0.023519212",34353951640,
19867,45.017411,7.757511,1,1,"7 : 0.50114423, 3 : 0.03799874, 13 : 0.025416538",46304771025,
19868,45.017411,7.757511,1,1,"7 : 0.50114423, 3 : 0.03799874, 13 : 0.025416538",33226013348,
19869,45.019658,7.74835,1,1,"8 : 0.8527032, 8 : 0.056308076, 8 : 0.0035668034",32685002878,
19870,45.023169,7.738913,1,0,"5 : 0.29533324, 5 : 0.20018849, 3 : 0.14966139",25720867628,
19871,45.025833,7.749444,1,0,"11 : 0.3212178, 13 : 0.036853887, 10 : 0.033919062",37330233134,
19872,45.076702,7.762644,2,1,"8 : 0.651789, 8 : 0.06307582, 8 : 0.009977004",44869165335,
19873,45.076702,7.762644,2,1,"8 : 0.80681306, 8 : 0.04570005, 8 : 0.0044566602",30842291967,
19874,45.076702,7.762644,2,1,"8 : 0.7387312, 3 : 0.10411403, 8 : 0.093431234",45057423864,
19875,45.076702,7.762644,2,1,"8 : 0.44296697, 8 : 0.28901953, 6 : 0.020594003",45057423234,
19876,45.076702,7.762644,2,1,"8 : 0.41227683, 8 : 0.3133958, 8 : 0.032362603",45057419224,
19877,45.076702,7.762644,2,1,"8 : 0.637086, 8 : 0.18326783, 6 : 0.009566424",45782206711,
19878,45.076702,7.762644,2,1,"8 : 0.44596362, 8 : 0.32390025, 6 : 0.017966961",43964870770,
19879,45.076702,7.762644,2,1,"8 : 0.5094846, 8 : 0.30743662, 8 : 0.021652216",45782188401,
19880,45.076702,7.762644,2,1,"8 : 0.2657934, 8 : 0.07064192, 8 : 0.05010614",45782174401,
19881,45.076702,7.762644,2,1,"8 : 0.72762233, 8 : 0.12238838, 6 : 0.006434906",44869127505,
19882,45.076702,7.762644,2,1,"8 : 0.7565843, 8 : 0.14615072, 9 : 0.00654242",30842262587,
19883,45.076702,7.762644,2,1,"13 : 0.5891925, 8 : 0.10925586, 8 : 0.06054689",45057378794,
19884,45.076702,7.762644,2,1,"8 : 0.7673599, 8 : 0.10039682, 6 : 0.012295709",44869117475,
19885,45.076702,7.762644,2,1,"8 : 0.3554998, 8 : 0.026287036, 8 : 0.023874605",30842246277,
19886,45.076702,7.762644,2,1,"8 : 0.64478326, 8 : 0.22347234, 8 : 0.010413069",43964824760,
19887,45.076702,7.762644,2,1,"8 : 0.647224, 8 : 0.05371512, 8 : 0.044696566",31910784968,
19888,45.076702,7.762644,2,1,"8 : 0.36012614, 8 : 0.23328653, 8 : 0.0615998",31910717318,
19889,45.076702,7.762644,2,1,"3 : 0.2989502, 8 : 0.2915104, 8 : 0.03471516",45782213121,
19890,45.076702,7.762644,2,1,"8 : 0.80849034, 8 : 0.04979269, 6 : 0.007056019",44869166055,
19891,45.076702,7.762644,2,1,"8 : 0.48464143, 8 : 0.37168387, 6 : 0.012754903",45057422154,
19892,45.076702,7.762644,2,1,"8 : 0.7703903, 8 : 0.09285779, 8 : 0.019216027",31910824878,
19893,45.076702,7.762644,2,1,"8 : 0.7266105, 8 : 0.086056285, 8 : 0.036568496",45057407254,
19894,45.076702,7.762644,2,1,"8 : 0.82182294, 8 : 0.058575936, 8 : 0.010219961",45782207191,
19895,45.076702,7.762644,2,1,"8 : 0.40164992, 8 : 0.35781327, 6 : 0.013142944",45782182661,
19896,45.076702,7.762644,2,1,"8 : 0.6857292, 8 : 0.14193761, 6 : 0.026727226",43964826490,
19897,45.076702,7.762644,2,1,"8 : 0.48153692, 8 : 0.29283863, 9 : 0.016590549",45057376964,
19898,45.076702,7.762644,2,1,"8 : 0.5006931, 8 : 0.27201086, 8 : 0.08172717",45782207761,
19899,45.076702,7.762644,2,1,"8 : 0.46849623, 8 : 0.2797971, 9 : 0.015519495",45057405154,
19900,45.076702,7.762644,2,1,"8 : 0.6383811, 8 : 0.21058513, 6 : 0.01705833",45782208131,
19901,45.076702,7.762644,2,1,"8 : 0.43641, 8 : 0.41819197, 6 : 0.044809878",31910786098,
19902,45.076702,7.762644,2,1,"8 : 0.39727968, 8 : 0.38165572, 9 : 0.011070848",30842251657,
19903,45.076702,7.762644,2,1,"3 : 0.14436176, 7 : 0.12987982, 2 : 0.0828739",45782214541,
19904,45.076702,7.762644,2,1,"8 : 0.7230758, 8 : 0.12312808, 6 : 0.027317196",43964821020,
19905,45.076702,7.762644,2,1,"8 : 0.34736237, 8 : 0.29422796, 8 : 0.26099464",31910799258,
19906,45.076702,7.762644,2,1,"8 : 0.495468, 8 : 0.14058971, 9 : 0.03755772",45057389154,
19907,45.076702,7.762644,2,1,"8 : 0.7879775, 8 : 0.027841317, 8 : 0.011540956",31910790388,
19908,45.076702,7.762644,2,1,"8 : 0.6551845, 8 : 0.15250866, 6 : 0.019206716",45782208571,
19909,45.076702,7.762644,2,1,"8 : 0.4549607, 8 : 0.109396264, 8 : 0.05206491",45782186221,
19910,45.076702,7.762644,2,1,"8 : 0.89868575, 8 : 0.019697603, 6 : 0.012714624",43964822200,
19911,45.076702,7.762644,2,1,"8 : 0.73060066, 8 : 0.1325697, 8 : 0.005435432",45732076822,
19912,45.076702,7.762644,2,1,"8 : 0.76129675, 8 : 0.07910208, 6 : 0.01608367",45782212511,
19913,45.076702,7.762644,2,1,"8 : 0.15012391, 8 : 0.12999752, 8 : 0.059168864",44869135695,
19914,45.076702,7.762644,2,1,"8 : 0.5091867, 8 : 0.18711184, 6 : 0.013688565",30842246597,
19915,45.076702,7.762644,2,1,"8 : 0.5524673, 8 : 0.16678749, 6 : 0.025365539",45782176651,
19916,45.076702,7.762644,2,1,"8 : 0.6522292, 8 : 0.13177975, 6 : 0.015207665",43964829370,
19917,45.076702,7.762644,2,1,"8 : 0.89652175, 8 : 0.02675579, 9 : 0.0038512538",45782153421,
19918,45.076702,7.762644,2,1,"8 : 0.41116184, 8 : 0.3740347, 6 : 0.016781466",43964827220,
19919,45.076702,7.762644,2,1,"8 : 0.42541626, 8 : 0.38153166, 8 : 0.07688208",45057406704,
19920,45.076702,7.762644,2,1,"8 : 0.6362826, 8 : 0.1715868, 8 : 0.021531742",30842248917,
19921,45.076702,7.762644,2,1,"8 : 0.4025453, 8 : 0.24406447, 6 : 0.021910839",45782208931,
19922,45.076702,7.762644,2,1,"8 : 0.3893923, 8 : 0.054632142, 8 : 0.035209253",44869134425,
19923,45.076702,7.762644,2,1,"8 : 0.3900312, 8 : 0.33839315, 6 : 0.017111266",31910784158,
19924,45.076702,7.762644,2,1,"8 : 0.83469284, 8 : 0.028141603, 8 : 0.027321843",30842252547,
19925,45.076702,7.762644,2,1,"8 : 0.8957641, 8 : 0.05255565, 6 : 0.008048878",31910719228,
19926,45.076702,7.762644,2,1,"8 : 0.6478009, 8 : 0.30705714, 9 : 0.0052188635",45782206101,
19927,45.076702,7.762644,2,1,"8 : 0.81577057, 8 : 0.056107715, 9 : 0.0076821726",45782179791,
19928,45.076702,7.762644,2,1,"8 : 0.49318898, 8 : 0.29354632, 8 : 0.00770391",45782152861,
19929,45.076702,7.762644,2,1,"8 : 0.46573603, 8 : 0.3163772, 6 : 0.014390362",45782211391,
19930,45.076702,7.762644,2,1,"8 : 0.54325455, 8 : 0.32732913, 8 : 0.011695513",45782154581,
19931,45.076702,7.762644,2,1,"8 : 0.48732936, 8 : 0.0718236, 8 : 0.05827059",30842260207,
19932,45.076702,7.762644,2,1,"8 : 0.58561754, 8 : 0.26318157, 8 : 0.050766762",30842244667,
19933,45.076702,7.762644,2,1,"8 : 0.4037973, 8 : 0.34778544, 6 : 0.010321591",45782205481,
19934,45.076702,7.762644,2,1,"8 : 0.56239533, 8 : 0.26873067, 6 : 0.008750047",30842250807,
19935,45.076702,7.762644,2,1,"8 : 0.8136317, 8 : 0.085756026, 9 : 0.009212166",45057405914,
19936,45.076702,7.762644,2,1,"8 : 0.5057319, 13 : 0.34820884, 8 : 0.045719404",45782213781,
19937,45.076702,7.762644,2,1,"8 : 0.4092976, 8 : 0.31677797, 6 : 0.011880591",44869140845,
19938,45.076702,7.762644,2,1,"8 : 0.28206128, 8 : 0.22473757, 9 : 0.05479941",45732075712,
19939,45.076702,7.762644,2,1,"8 : 0.66398823, 8 : 0.21149258, 6 : 0.006393827",44869139885,
19940,45.076702,7.762644,2,1,"8 : 0.968472, 8 : 0.0186913, 8 : 0.0074768797",44869168145,
19941,45.076702,7.762644,2,1,"8 : 0.6789693, 8 : 0.103152506, 6 : 0.015342606",45782206471,
19942,45.076702,7.762644,2,1,"8 : 0.51036394, 8 : 0.13474937, 6 : 0.08089702",43964821890,
19943,45.076702,7.762644,2,1,"8 : 0.45770147, 8 : 0.26992983, 6 : 0.012676174",31910789148,
19944,45.076702,7.762644,2,1,"8 : 0.34345478, 8 : 0.3277995, 8 : 0.14566137",30842245377,
19945,45.076702,7.762644,2,1,"8 : 0.31122, 7 : 0.13420403, 8 : 0.09620851",45782178071,
19946,45.076702,7.762644,2,1,"8 : 0.7963261, 8 : 0.030607937, 9 : 0.018757788",45057382834,
19947,45.076702,7.762644,2,1,"8 : 0.8708293, 8 : 0.04159543, 9 : 0.009842309",31910839028,
19948,45.076702,7.762644,2,1,"8 : 0.66978097, 8 : 0.23633975, 8 : 0.016846627",30842243817,
19949,45.076702,7.762644,2,1,"8 : 0.40167022, 8 : 0.11147407, 8 : 0.042117685",44869125095,
19950,45.076702,7.762644,2,1,"8 : 0.6364899, 9 : 0.083653614, 8 : 0.023284575",43964824310,
19951,45.076702,7.762644,2,1,"8 : 0.73632854, 8 : 0.033068284, 6 : 0.0085057765",31910789848,
19952,45.076702,7.762644,2,1,"8 : 0.50530744, 8 : 0.30154052, 6 : 0.016484104",45732006842,
19953,45.076702,7.762644,2,1,"13 : 0.2789476, 8 : 0.24461925, 8 : 0.12619986",44869129555,
19954,45.076702,7.762644,2,1,"8 : 0.8492271, 8 : 0.08323231, 6 : 0.005750705",45732005982,
19955,45.076702,7.762644,2,1,"8 : 0.87863964, 8 : 0.06764743, 8 : 0.005328954",45782154181,
19956,45.076702,7.762644,2,1,"8 : 0.76637685, 8 : 0.14574774, 8 : 0.004544044",45782205151,
19957,45.076702,7.762644,2,1,"8 : 0.83930784, 8 : 0.05893333, 6 : 0.0078021903",45782155281,
19958,45.076702,7.762644,2,1,"8 : 0.69068485, 8 : 0.11686104, 8 : 0.025171958",45057421224,
19959,45.076702,7.762644,2,1,"8 : 0.4917349, 8 : 0.1724911, 9 : 0.05284415",44869137165,
19960,45.076702,7.762644,2,1,"8 : 0.3179031, 8 : 0.23950014, 9 : 0.06554504",43964858010,
19961,45.076702,7.762644,2,1,"8 : 0.28587618, 9 : 0.27566507, 8 : 0.23411058",43964856680,
19962,45.076702,7.762644,2,1,"8 : 0.40460697, 8 : 0.32194862, 6 : 0.013758826",45782210681,
19963,45.076702,7.762644,2,1,"8 : 0.19710638, 8 : 0.10387832, 8 : 0.038963825",45782184351,
19964,45.076702,7.762644,2,1,"8 : 0.8760967, 8 : 0.04575316, 8 : 0.014302991",45057424474,
19965,45.076702,7.762644,2,1,"2 : 0.26655227, 8 : 0.26495433, 8 : 0.10150467",31910779738,
19966,45.076702,7.762644,2,1,"2 : 0.55267423, 8 : 0.15925595, 8 : 0.048882224",43964816360,
19967,45.076702,7.762644,2,1,"8 : 0.24245852, 8 : 0.08970072, 2 : 0.08718564",31910780448,
19968,45.076952,7.767409,2,1,"2 : 0.091471, 2 : 0.06923042, 9 : 0.039097678",48902780533,
19969,45.077005,7.768105,2,1,"2 : 0.47193107, 2 : 0.21003318, 13 : 0.08147439",31910782778,
19970,45.077036,7.765542,2,1,"8 : 0.5995588, 8 : 0.096378356, 9 : 0.033530883",24010624188,
19971,45.077036,7.765542,2,1,"8 : 0.44923028, 8 : 0.1624007, 8 : 0.053165387",37814594596,
19972,45.077036,7.765542,2,1,"8 : 0.75588435, 8 : 0.07198649, 7 : 0.0062663904",37863381701,
19973,45.077036,7.765542,2,1,"8 : 0.8379027, 8 : 0.036656104, 9 : 0.013118913",37863380501,
19974,45.077036,7.765542,2,1,"8 : 0.52899873, 8 : 0.13634992, 7 : 0.021329822",37863380931,
19975,45.077036,7.765542,2,1,"8 : 0.7426697, 8 : 0.03601535, 6 : 0.0063617844",37814598976,
19976,45.077036,7.765542,2,1,"8 : 0.87923115, 8 : 0.035151474, 8 : 0.005686146",37814599826,
19977,45.077036,7.765542,2,1,"8 : 0.40004453, 8 : 0.2399164, 8 : 0.025204457",37153725304,
19978,45.077036,7.765542,2,1,"8 : 0.8184897, 8 : 0.11776943, 6 : 0.010430146",24010619648,
19979,45.077308,7.765982,2,1,"13 : 0.938968, 3 : 0.008815137, 3 : 0.0058333436",37568907370,
19980,45.077308,7.765982,2,1,"4 : 0.1985185, 9 : 0.15277906, 13 : 0.046487037",37116588354,
19981,45.077308,7.765982,2,1,"8 : 0.34982133, 8 : 0.18382157, 8 : 0.054218005",37827059841,
19982,45.077308,7.765982,2,1,"8 : 0.56343883, 9 : 0.08431267, 8 : 0.04496069",37830255821,
19983,45.077308,7.765982,2,1,"8 : 0.589016, 8 : 0.0982644, 13 : 0.01081383",37798436122,
19984,45.077308,7.765982,2,1,"8 : 0.6700557, 8 : 0.11069228, 8 : 0.015338414",37572078880,
19985,45.077346,7.765982,2,1,"8 : 0.5557782, 8 : 0.043011192, 8 : 0.03550358",37863388601,
19986,45.077346,7.765982,2,1,"8 : 0.65185314, 8 : 0.20913868, 6 : 0.013284",37863384891,
19987,45.077346,7.765982,2,1,"8 : 0.6025896, 8 : 0.2116051, 6 : 0.0076501262",37153522194,
19988,45.077346,7.765982,2,1,"8 : 0.38161704, 8 : 0.35086474, 6 : 0.023328627",37605327700,
19989,45.077346,7.765982,2,1,"8 : 0.43092698, 8 : 0.35178244, 7 : 0.01651916",37782304826,
19990,45.077346,7.765982,2,1,"8 : 0.56181645, 8 : 0.11323743, 9 : 0.02221722",37830818981,
19991,45.077346,7.765982,2,1,"8 : 0.6098591, 8 : 0.20009595, 6 : 0.011929518",37830060211,
19992,45.077346,7.765982,2,1,"8 : 0.8572449, 8 : 0.11423579, 9 : 0.0023598608",23977444468,
19993,45.077346,7.765982,2,1,"8 : 0.72375643, 8 : 0.039639015, 6 : 0.01309434",37830008131,
19994,45.077346,7.765982,2,1,"8 : 0.7716354, 8 : 0.016752915, 6 : 0.00977154",37119830274,
19995,45.077346,7.765982,2,1,"8 : 0.7903095, 8 : 0.017960643, 8 : 0.0079334285",37798292442,
19996,45.077346,7.765982,2,1,"8 : 0.77568495, 8 : 0.099805675, 9 : 0.008340019",37119976154,
19997,45.077346,7.765982,2,1,"8 : 0.64087045, 9 : 0.026650386, 8 : 0.016966185",23977492738,
19998,45.077346,7.765982,2,1,"8 : 0.43870637, 8 : 0.043153327, 7 : 0.018118557",37782049406,
19999,45.077346,7.765982,2,1,"8 : 0.93691987, 8 : 0.032482028, 8 : 0.0030973365",23978238048,
20000,45.077346,7.765982,2,1,"8 : 0.4937962, 8 : 0.38811848, 6 : 0.013766734",37799011472,
20001,45.077346,7.765982,2,1,"8 : 0.6585204, 8 : 0.07883295, 9 : 0.013983692",23978163268,
20002,45.077346,7.765982,2,1,"8 : 0.30191612, 8 : 0.26246867, 8 : 0.14839213",37120596374,
