field_1,lat,lng,ids,predictions,label,CLUSTER_ID
203,45.0620938134,7.6428419352,2.20968896836587E+018,"4 : 0.25211376, 14 : 0.16896363, 2 : 0.16645198",6,0
204,45.0620938134,7.6428419352,2.20414138447107E+018,"13 : 0.14215505, 13 : 0.10908333, 8 : 0.039262865",6,0
205,45.0620938134,7.6428419352,2.19438378409172E+018,"9 : 0.22083397, 12 : 0.093078814, 6 : 0.07762869",6,0
206,45.0620938134,7.6428419352,2.18949343613937E+018,"12 : 0.56377894, 2 : 0.022442628, 10 : 0.019895377",6,0
207,45.0620938134,7.6428419352,2.18943621866886E+018,"6 : 0.5454348, 2 : 0.049734797, 9 : 0.030777737",6,0
208,45.0620938134,7.6428419352,2.18922272123012E+018,"3 : 0.21204036, 12 : 0.04381958, 12 : 0.03804487",6,0
209,45.0620938134,7.6428419352,2.18922226111487E+018,"8 : 0.63268644, 2 : 0.10780891, 7 : 0.009577805",6,0
210,45.0620938134,7.6428419352,2.16925107156273E+018,"2 : 0.53310686, 2 : 0.23961341, 2 : 0.07473818",6,0
211,45.0620938134,7.6428419352,2.16920692393788E+018,"2 : 0.113032155, 2 : 0.06649928, 8 : 0.044828016",6,0
212,45.0620938134,7.6428419352,2.16916813420907E+018,"13 : 0.3563088, 9 : 0.12204019, 11 : 0.04075003",6,0
213,45.0620938134,7.6428419352,2.16915666760267E+018,"9 : 0.21171737, 12 : 0.06560134, 7 : 0.05405302",6,0
214,45.0620938134,7.6428419352,2.16914142855545E+018,"7 : 0.21919109, 13 : 0.08677302, 7 : 0.05179028",6,0
215,45.0620938134,7.6428419352,2.16913015868716E+018,"13 : 0.2495875, 13 : 0.06992899, 14 : 0.06469474",6,0
216,45.0620938134,7.6428419352,2.16909361692082E+018,"2 : 0.5082209, 7 : 0.16560595, 4 : 0.0375533",6,0
217,45.0620938134,7.6428419352,2.16908841975047E+018,"13 : 0.04879883, 2 : 0.047323186, 7 : 0.035504866",6,0
218,45.0620938134,7.6428419352,2.16900082348966E+018,"2 : 0.39414588, 2 : 0.1641137, 7 : 0.06321197",6,0
219,45.0620938134,7.6428419352,2.16898975423498E+018,"3 : 0.24555987, 2 : 0.06090012, 13 : 0.042281102",6,0
220,45.0620938134,7.6428419352,2.16896270828897E+018,"2 : 0.28718904, 7 : 0.06152858, 2 : 0.042291924",6,0
221,45.0620938134,7.6428419352,2.16859032959114E+018,"2 : 0.5101588, 13 : 0.16104947, 2 : 0.02429072",6,0
222,45.0620938134,7.6428419352,2.14881855240103E+018,"2 : 0.5202948, 13 : 0.14046493, 12 : 0.06379124",6,0
223,45.0620938134,7.6428419352,2.11342688270751E+018,"2 : 0.10417951, 9 : 0.08555894, 9 : 0.049932726",6,0
224,45.0620938134,7.6428419352,2.11342610668563E+018,"5 : 0.15238896, 5 : 0.097109236, 9 : 0.049086854",6,0
225,45.0620938134,7.6428419352,2.10302877934939E+018,"12 : 0.4636516, 9 : 0.14019284, 1 : 0.020136043",6,0
226,45.0620938134,7.6428419352,2.10301278383401E+018,"9 : 0.9874071, 9 : 0.0015341574, 9 : 0.00091542787",6,0
227,45.0620938134,7.6428419352,2.09808808468499E+018,"9 : 0.06897308, 5 : 0.044796627, 2 : 0.042268563",6,0
228,45.0620938134,7.6428419352,2.09271939029539E+018,"5 : 0.5601064, 12 : 0.013239876, 7 : 0.011807502",6,0
229,45.0620938134,7.6428419352,2.07789837101376E+018,"1 : 0.19692354, 9 : 0.15281737, 12 : 0.090262175",6,0
230,45.0620938134,7.6428419352,2.0726841518926E+018,"5 : 0.9123437, 9 : 0.011320399, 5 : 0.0030011048",6,0
231,45.0620938134,7.6428419352,2.06739804485017E+018,"9 : 0.3262473, 9 : 0.10304561, 13 : 0.09876114",6,0
232,45.0620938134,7.6428419352,2.04730978304603E+018,"5 : 0.099001095, 9 : 0.09285735, 13 : 0.06513163",6,0
233,45.0620938134,7.6428419352,2.04238678765434E+018,"13 : 0.14047025, 13 : 0.10498971, 7 : 0.05605384",6,0
234,45.0620938134,7.6428419352,2.04203233857426E+018,"7 : 0.030849587, 7 : 0.026156036, 2 : 0.025486166",6,0
235,45.0620938134,7.6428419352,2.03703959448379E+018,"9 : 0.19154257, 1 : 0.18261203, 9 : 0.14944917",6,0
236,45.0620938134,7.6428419352,2.0169575440075E+018,"1 : 0.21580273, 13 : 0.07823579, 9 : 0.03488233",6,0
237,45.0620938134,7.6428419352,2.01688979756686E+018,"2 : 0.16278344, 7 : 0.15596116, 2 : 0.06819321",6,0
238,45.0620938134,7.6428419352,2.01660468234532E+018,"2 : 0.1957099, 2 : 0.10162271, 7 : 0.052479003",6,0
239,45.0620938134,7.6428419352,2.01635920284365E+018,"7 : 0.14474298, 2 : 0.088812105, 2 : 0.08054182",6,0
240,45.0620938134,7.6428419352,2.00688361937723E+018,"2 : 0.30415663, 13 : 0.03539395, 12 : 0.03091356",6,0
241,45.0620938134,7.6428419352,2.00668816085237E+018,"7 : 0.9792198, 5 : 0.0027669133, 13 : 0.0018177071",6,0
242,45.0620938134,7.6428419352,1.99672756874054E+018,"7 : 0.08398748, 13 : 0.041533563, 7 : 0.03053847",6,0
243,45.0620938134,7.6428419352,1.99658841205188E+018,"4 : 0.72488576, 9 : 0.028351264, 4 : 0.00839311",6,0
244,45.0620938134,7.6428419352,1.99658713025565E+018,"1 : 0.489577, 12 : 0.16889375, 12 : 0.0895895",6,0
245,45.0620938134,7.6428419352,1.99658618529586E+018,"5 : 0.5069025, 12 : 0.033926025, 6 : 0.018662864",6,0
246,45.0620938134,7.6428419352,1.98121461453355E+018,"3 : 0.05970917, 13 : 0.031986147, 12 : 0.030662905",6,0
247,45.0620938134,7.6428419352,1.9763255940538E+018,"4 : 0.28944498, 9 : 0.031423, 8 : 0.024134036",6,0
248,45.0620938134,7.6428419352,1.97617188764237E+018,"5 : 0.7205621, 5 : 0.117363974, 9 : 0.03118951",6,0
249,45.0620938134,7.6428419352,1.97143408796943E+018,"12 : 0.24502586, 2 : 0.10493372, 2 : 0.08467871",6,0
250,45.0620938134,7.6428419352,1.97138484138958E+018,"2 : 0.18098618, 2 : 0.13143139, 3 : 0.07646796",6,0
251,45.0620938134,7.6428419352,1.96629436684266E+018,"14 : 0.20625283, 2 : 0.16653794, 2 : 0.07043924",6,0
252,45.0620938134,7.6428419352,1.96125485537419E+018,"14 : 0.33053032, 8 : 0.092305765, 2 : 0.09226629",6,0
253,45.0620938134,7.6428419352,1.96115926472823E+018,"2 : 0.2299246, 9 : 0.101308994, 2 : 0.06519524",6,0
254,45.0620938134,7.6428419352,1.96107331452909E+018,"12 : 0.41812727, 2 : 0.37089553, 1 : 0.049879637",6,0
255,45.0620938134,7.6428419352,1.95113695741783E+018,"1 : 0.074095786, 7 : 0.07309875, 12 : 0.05788267",6,0
256,45.0620938134,7.6428419352,1.94603649156206E+018,"13 : 0.4150188, 9 : 0.11816207, 7 : 0.08074593",6,0
257,45.0620938134,7.6428419352,1.94588124073369E+018,"13 : 0.14178462, 9 : 0.054393005, 12 : 0.041188393",6,0
258,45.0620938134,7.6428419352,1.94588018239325E+018,"10 : 0.105926014, 5 : 0.09726062, 2 : 0.093203336",6,0
259,45.0620938134,7.6428419352,1.93589625407288E+018,"13 : 0.5410069, 2 : 0.13344571, 2 : 0.019232517",6,0
260,45.0620938134,7.6428419352,1.92553828715051E+018,"2 : 0.10841838, 14 : 0.0965767, 2 : 0.08522518",6,0
