ids,predictions,lat,lng,label,CLUSTER_ID
33459950710,"2 : 0.32600734, 13 : 0.09499966, 13 : 0.072913416",45.0612,7.6806,0,12
49107137843,"3 : 0.4044025, 3 : 0.31530422, 3 : 0.17026004",45.061252,7.682505,0,12
49221521308,"9 : 0.22511522, 8 : 0.05852045, 9 : 0.047339242",45.061274,7.679266,0,12
47907933621,"8 : 0.6122971, 8 : 0.26577565, 8 : 0.0030367584",45.061287,7.676836,0,12
48721664252,"8 : 0.8119681, 8 : 0.072414525, 8 : 0.028296934",45.061297,7.677258,0,12
48780786328,"3 : 0.60687566, 2 : 0.09060099, 3 : 0.060418606",45.061302,7.676591,0,12
48881776813,"8 : 0.6956263, 8 : 0.10080954, 8 : 0.021048237",45.061305,7.677425,0,12
48882487837,"8 : 0.5751608, 8 : 0.16488048, 8 : 0.09473691",45.061305,7.677425,0,12
48887026021,"8 : 0.60716516, 8 : 0.33317882, 8 : 0.0037087307",45.061305,7.677425,0,12
48887025981,"8 : 0.38354644, 8 : 0.25663596, 8 : 0.13048857",45.061305,7.677425,0,12
48881784468,"8 : 0.91961837, 8 : 0.03383968, 8 : 0.01279422",45.061305,7.677425,0,12
48882300211,"8 : 0.5371903, 8 : 0.20577551, 8 : 0.111512154",45.061305,7.677425,0,12
49107838882,"8 : 0.11575831, 10 : 0.1142427, 2 : 0.053074945",45.061305,7.683036,0,2
25582813657,"13 : 0.09249209, 7 : 0.091108516, 7 : 0.059657328",45.061325,7.683152,0,2
29572531698,"13 : 0.66286266, 4 : 0.05521288, 4 : 0.0195529",45.061351,7.677834,0,12
40526414672,"1 : 0.19298692, 8 : 0.12740853, 11 : 0.10454825",45.061358,7.677639,0,12
33983272531,"12 : 0.104291834, 14 : 0.09509505, 7 : 0.076119766",45.061381,7.674636,0,4
48781333072,"12 : 0.93188566, 3 : 0.008733133, 12 : 0.008140071",45.061383,7.676486,0,12
48454415021,"1 : 0.28606915, 11 : 0.13005121, 8 : 0.12538372",45.061394,7.674811,0,4
38759528081,"12 : 0.6186998, 13 : 0.055032074, 1 : 0.045487233",45.061426,7.67807,0,12
39773381825,"9 : 0.5491826, 9 : 0.08274907, 8 : 0.064563215",45.061472,7.683026,0,2
25276284917,"2 : 0.1394257, 3 : 0.08191643, 3 : 0.056134354",45.061485,7.674445,0,4
37198266141,"1 : 0.25183865, 9 : 0.09763713, 4 : 0.09321074",45.061486,7.677665,0,12
29042202487,"7 : 0.8119828, 2 : 0.043781217, 4 : 0.039252453",45.061508,7.678125,0,12
34056296486,"3 : 0.26367584, 3 : 0.04229041, 3 : 0.039296426",45.061548,7.68043,0,12
48887026116,"7 : 0.27975926, 7 : 0.117576204, 7 : 0.101984166",45.061555,7.677951,0,12
48454572332,"8 : 0.26504722, 1 : 0.23401469, 11 : 0.045290947",45.061575,7.674911,0,4
32940897045,"2 : 0.86184657, 12 : 0.053720742, 13 : 0.02540873",45.061588,7.673269,0,4
32816539131,"3 : 0.33802947, 2 : 0.21778156, 3 : 0.06368092",45.061627,7.673302,0,4
39404907252,"11 : 0.49036694, 1 : 0.2527699, 11 : 0.101275675",45.061641,7.678167,0,12
33956517192,"7 : 0.74800295, 13 : 0.02585977, 12 : 0.020806858",45.061654,7.674862,0,4
