ids,predictions,lat,lng,label,CLUSTER__ID
2205443205718311276,"2 : 0.2716765, 2 : 0.19478327, 2 : 0.168801",45.06954,7.68792,0,16
2205282009648013936,"2 : 0.54212576, 2 : 0.08781575, 6 : 0.061618328",45.06954,7.68792,0,16
2202915884373162010,"2 : 0.68102646, 3 : 0.13618165, 7 : 0.06675578",45.06954,7.68792,0,16
2201672751379453620,"12 : 0.66946965, 2 : 0.046003573, 2 : 0.03959762",45.06954,7.68792,0,16
2201135865133061294,"2 : 0.3488182, 7 : 0.15359299, 13 : 0.14460188",45.06954,7.68792,0,16
2199448411212796417,"2 : 0.78527135, 7 : 0.046420395, 3 : 0.006758119",45.06954,7.68792,0,16
2198554743593380490,"3 : 0.78858453, 2 : 0.13317038, 7 : 0.0030085917",45.06954,7.68792,0,16
2198185226509804990,"2 : 0.78999346, 7 : 0.066075735, 2 : 0.019922463",45.06954,7.68792,0,16
2198082728163810628,"2 : 0.31251633, 7 : 0.29335564, 2 : 0.09041472",45.06954,7.68792,0,16
2194934674003012632,"2 : 0.3527984, 4 : 0.14443319, 7 : 0.050167084",45.06954,7.68792,0,16
2194472693731126096,"7 : 0.36330426, 7 : 0.26629484, 2 : 0.1859324",45.06954,7.68792,0,16
2193629453222067479,"2 : 0.6685925, 2 : 0.045151904, 7 : 0.03634844",45.06954,7.68792,0,16
2193628012554217319,"2 : 0.7834955, 3 : 0.018535003, 2 : 0.015028164",45.06954,7.68792,0,16
2188470727938901864,"2 : 0.36711133, 2 : 0.05137477, 2 : 0.045774836",45.06954,7.68792,0,16
2185078513342679704,"3 : 0.16125686, 2 : 0.12545602, 7 : 0.09233302",45.06954,7.68792,0,16
2179058316152611832,"7 : 0.79835045, 2 : 0.034160413, 7 : 0.007282768",45.06954,7.68792,0,16
2171926576594385669,"2 : 0.51033765, 7 : 0.055394776, 3 : 0.042420592",45.06954,7.68792,0,16
2171240141734120306,"3 : 0.6527753, 8 : 0.037919518, 3 : 0.021373283",45.06954,7.68792,0,16
2168963249152981075,"7 : 0.21280876, 7 : 0.18261276, 7 : 0.14655977",45.06954,7.68792,0,16
2167610563614569650,"2 : 0.9288461, 2 : 0.009425506, 2 : 0.004531143",45.06954,7.68792,0,16
2165488247963232199,"9 : 0.20313658, 7 : 0.09687934, 7 : 0.064929694",45.06954,7.68792,0,16
2165411975408945920,"2 : 0.2576345, 4 : 0.03360498, 7 : 0.02514915",45.06954,7.68792,0,16
2165411327003294317,"7 : 0.462879, 7 : 0.33133766, 2 : 0.07798873",45.06954,7.68792,0,16
2164687264320536351,"7 : 0.9277717, 7 : 0.025368305, 13 : 0.0063162968",45.06954,7.68792,0,16
2164686856382424812,"7 : 0.93436766, 7 : 0.025039863, 2 : 0.0056603584",45.06954,7.68792,0,16
