field_1,lat,lng,ids,predictions,label,cores,CLUSTER_ID,CLUSTER_SIZE,layer,path,CLUSTER_ID_2,CLUSTER_SIZE_2
"11865",45.06567,7.688369,"49756557241","8 : 0.89909106, 8 : 0.014033689, 8 : 0.0038325323","0","1","5","6062",Clusters,"Point?crs=EPSG:4326&field=field_1:integer(0,0)&field=lat:double(0,0)&field=lng:double(0,0)&field=ids:long(0,0)&field=predictions:string(0,0)&field=label:integer(0,0)&field=cores:integer(0,0)&field=CLUSTER_ID:integer(0,0)&field=CLUSTER_SIZE:integer(0,0)&uid={99c5e0af-9453-4cba-8fb5-7fc001dddc17}","16","259"
"18209",45.073811,7.675288,"37090818580","1 : 0.83090544, 8 : 0.00893676, 1 : 0.006775618","0","1","5","6062",Clusters,"Point?crs=EPSG:4326&field=field_1:integer(0,0)&field=lat:double(0,0)&field=lng:double(0,0)&field=ids:long(0,0)&field=predictions:string(0,0)&field=label:integer(0,0)&field=cores:integer(0,0)&field=CLUSTER_ID:integer(0,0)&field=CLUSTER_SIZE:integer(0,0)&uid={99c5e0af-9453-4cba-8fb5-7fc001dddc17}","15","88"
"17798",45.073092,7.677544,"47994053121","8 : 0.8995336, 8 : 0.088143244, 1 : 0.0015200077","0","1","5","6062",Clusters,"Point?crs=EPSG:4326&field=field_1:integer(0,0)&field=lat:double(0,0)&field=lng:double(0,0)&field=ids:long(0,0)&field=predictions:string(0,0)&field=label:integer(0,0)&field=cores:integer(0,0)&field=CLUSTER_ID:integer(0,0)&field=CLUSTER_SIZE:integer(0,0)&uid={99c5e0af-9453-4cba-8fb5-7fc001dddc17}","14","174"
"15282",45.069994,7.686186,"50142854863","1 : 0.83015364, 1 : 0.049297042, 9 : 0.012606395","0","1","5","6062",Clusters,"Point?crs=EPSG:4326&field=field_1:integer(0,0)&field=lat:double(0,0)&field=lng:double(0,0)&field=ids:long(0,0)&field=predictions:string(0,0)&field=label:integer(0,0)&field=cores:integer(0,0)&field=CLUSTER_ID:integer(0,0)&field=CLUSTER_SIZE:integer(0,0)&uid={99c5e0af-9453-4cba-8fb5-7fc001dddc17}","13","1295"
"15326",45.070094,7.687386,"46732164031","3 : 0.6087796, 7 : 0.22491448, 7 : 0.017492851","0","1","5","6062",Clusters,"Point?crs=EPSG:4326&field=field_1:integer(0,0)&field=lat:double(0,0)&field=lng:double(0,0)&field=ids:long(0,0)&field=predictions:string(0,0)&field=label:integer(0,0)&field=cores:integer(0,0)&field=CLUSTER_ID:integer(0,0)&field=CLUSTER_SIZE:integer(0,0)&uid={99c5e0af-9453-4cba-8fb5-7fc001dddc17}","6","393"
"10332",45.061274,7.679266,"49221521308","9 : 0.22511522, 8 : 0.05852045, 9 : 0.047339242","0","1","5","6062",Clusters,"Point?crs=EPSG:4326&field=field_1:integer(0,0)&field=lat:double(0,0)&field=lng:double(0,0)&field=ids:long(0,0)&field=predictions:string(0,0)&field=label:integer(0,0)&field=cores:integer(0,0)&field=CLUSTER_ID:integer(0,0)&field=CLUSTER_SIZE:integer(0,0)&uid={99c5e0af-9453-4cba-8fb5-7fc001dddc17}","12","370"
"15264",45.069961,7.678949,"25275831898","1 : 0.6189097, 12 : 0.24187948, 1 : 0.016977463","0","1","5","6062",Clusters,"Point?crs=EPSG:4326&field=field_1:integer(0,0)&field=lat:double(0,0)&field=lng:double(0,0)&field=ids:long(0,0)&field=predictions:string(0,0)&field=label:integer(0,0)&field=cores:integer(0,0)&field=CLUSTER_ID:integer(0,0)&field=CLUSTER_SIZE:integer(0,0)&uid={99c5e0af-9453-4cba-8fb5-7fc001dddc17}","5","351"
"10348",45.061381,7.674636,"33983272531","12 : 0.104291834, 14 : 0.09509505, 7 : 0.076119766","0","1","5","6062",Clusters,"Point?crs=EPSG:4326&field=field_1:integer(0,0)&field=lat:double(0,0)&field=lng:double(0,0)&field=ids:long(0,0)&field=predictions:string(0,0)&field=label:integer(0,0)&field=cores:integer(0,0)&field=CLUSTER_ID:integer(0,0)&field=CLUSTER_SIZE:integer(0,0)&uid={99c5e0af-9453-4cba-8fb5-7fc001dddc17}","4","55"
"12144",45.066586,7.686116,"42698427460","11 : 0.3769925, 9 : 0.13562298, 11 : 0.10858698","0","1","5","6062",Clusters,"Point?crs=EPSG:4326&field=field_1:integer(0,0)&field=lat:double(0,0)&field=lng:double(0,0)&field=ids:long(0,0)&field=predictions:string(0,0)&field=label:integer(0,0)&field=cores:integer(0,0)&field=CLUSTER_ID:integer(0,0)&field=CLUSTER_SIZE:integer(0,0)&uid={99c5e0af-9453-4cba-8fb5-7fc001dddc17}","11","880"
"11653",45.064912,7.681932,"34366944726","10 : 0.41225275, 9 : 0.0440858, 4 : 0.04343714","0","1","5","6062",Clusters,"Point?crs=EPSG:4326&field=field_1:integer(0,0)&field=lat:double(0,0)&field=lng:double(0,0)&field=ids:long(0,0)&field=predictions:string(0,0)&field=label:integer(0,0)&field=cores:integer(0,0)&field=CLUSTER_ID:integer(0,0)&field=CLUSTER_SIZE:integer(0,0)&uid={99c5e0af-9453-4cba-8fb5-7fc001dddc17}","10","918"
"18931",45.076369,7.683455,"35020790065","3 : 0.9065171, 3 : 0.02117205, 3 : 0.012249838","0","1","5","6062",Clusters,"Point?crs=EPSG:4326&field=field_1:integer(0,0)&field=lat:double(0,0)&field=lng:double(0,0)&field=ids:long(0,0)&field=predictions:string(0,0)&field=label:integer(0,0)&field=cores:integer(0,0)&field=CLUSTER_ID:integer(0,0)&field=CLUSTER_SIZE:integer(0,0)&uid={99c5e0af-9453-4cba-8fb5-7fc001dddc17}","3","197"
"10343",45.061305,7.683036,"49107838882","8 : 0.11575831, 10 : 0.1142427, 2 : 0.053074945","0","1","5","6062",Clusters,"Point?crs=EPSG:4326&field=field_1:integer(0,0)&field=lat:double(0,0)&field=lng:double(0,0)&field=ids:long(0,0)&field=predictions:string(0,0)&field=label:integer(0,0)&field=cores:integer(0,0)&field=CLUSTER_ID:integer(0,0)&field=CLUSTER_SIZE:integer(0,0)&uid={99c5e0af-9453-4cba-8fb5-7fc001dddc17}","2","208"
"13015",45.067786,7.676782,"38260674895","1 : 0.9289166, 8 : 0.011483334, 12 : 0.006524637","0","1","5","6062",Clusters,"Point?crs=EPSG:4326&field=field_1:integer(0,0)&field=lat:double(0,0)&field=lng:double(0,0)&field=ids:long(0,0)&field=predictions:string(0,0)&field=label:integer(0,0)&field=cores:integer(0,0)&field=CLUSTER_ID:integer(0,0)&field=CLUSTER_SIZE:integer(0,0)&uid={99c5e0af-9453-4cba-8fb5-7fc001dddc17}","9","126"
"15532",45.070414,7.668918,"36790891104","2 : 0.42070523, 1 : 0.4144155, 4 : 0.029310176","0","1","5","6062",Clusters,"Point?crs=EPSG:4326&field=field_1:integer(0,0)&field=lat:double(0,0)&field=lng:double(0,0)&field=ids:long(0,0)&field=predictions:string(0,0)&field=label:integer(0,0)&field=cores:integer(0,0)&field=CLUSTER_ID:integer(0,0)&field=CLUSTER_SIZE:integer(0,0)&uid={99c5e0af-9453-4cba-8fb5-7fc001dddc17}","1","80"
