,lat,lon,id,predictions
0,45.0647194444,7.6840194444,2193148065586734486,"11 : 0.52510583, 2 : 0.14749797, 10 : 0.038596384"
1,45.0647194444,7.6840194444,2165473503322843746,"1 : 0.8788639, 1 : 0.020362325, 11 : 0.011054373"
2,45.0647194444,7.6840194444,2100872400431470915,"7 : 0.09403071, 7 : 0.020485207, 2 : 0.018888602"
3,45.0647194444,7.6840194444,2090083594224284715,"8 : 0.6464104, 9 : 0.027135357, 4 : 0.020726984"
4,45.0647194444,7.6840194444,2041439974075036859,"1 : 0.88045603, 11 : 0.012716056, 11 : 0.0126850605"
5,45.0647194444,7.6840194444,1979205682185648541,"11 : 0.62955445, 11 : 0.14503993, 11 : 0.043495964"
6,45.0647194444,7.6840194444,2193679571740547084,"11 : 0.43848017, 11 : 0.34970358, 11 : 0.032028906"
7,45.06199,7.68795,2209021936783919478,"1 : 0.8115643, 13 : 0.016901398, 11 : 0.013721778"
8,45.06199,7.68795,2194443212891015790,"3 : 0.44174153, 7 : 0.045484923, 11 : 0.03151478"
9,45.06199,7.68795,2194441889889941130,"1 : 0.6229064, 11 : 0.03703545, 11 : 0.028998988"
10,45.06199,7.68795,2193171516796144460,"11 : 0.883484, 2 : 0.02656657, 11 : 0.014479197"
11,45.06199,7.68795,2193058931979488332,"11 : 0.4958224, 11 : 0.1540154, 2 : 0.10604669"
12,45.06199,7.68795,2191558211652396699,"11 : 0.65213233, 2 : 0.19461817, 11 : 0.0068660076"
13,45.06199,7.68795,2189203207279577023,"11 : 0.66335905, 2 : 0.12699834, 11 : 0.038211666"
14,45.06199,7.68795,2171219875771699588,"11 : 0.3296823, 2 : 0.09366907, 1 : 0.08114009"
15,45.06199,7.68795,2167013909792498116,"11 : 0.5574339, 11 : 0.24711646, 2 : 0.061762094"
16,45.06199,7.68795,2166885357638512768,"7 : 0.849206, 2 : 0.032932974, 3 : 0.017551761"
17,45.06199,7.68795,2163875772450940539,"11 : 0.64187443, 11 : 0.09301885, 2 : 0.038601927"
18,45.06199,7.68795,2163129583078655490,"1 : 0.8520015, 1 : 0.04752214, 11 : 0.043582823"
19,45.06199,7.68795,2162600904298318827,"1 : 0.26737082, 1 : 0.24628043, 1 : 0.23033138"
20,45.06199,7.68795,2160937987213632552,"11 : 0.8208804, 2 : 0.10635622, 11 : 0.003296346"
21,45.06199,7.68795,2158767011915216752,"11 : 0.4693217, 11 : 0.1637148, 2 : 0.07004693"
22,45.06199,7.68795,2158757508813674209,"11 : 0.47860712, 11 : 0.1846552, 2 : 0.05973886"
23,45.06199,7.68795,2156752042530550798,"13 : 0.5877835, 13 : 0.02109088, 9 : 0.016136993"
24,45.06199,7.68795,2156751883138651273,"3 : 0.19904503, 1 : 0.18427627, 11 : 0.074381664"
25,45.06199,7.68795,2156751760144966158,"13 : 0.77943206, 12 : 0.050099306, 12 : 0.01566386"
26,45.06199,7.68795,2156751535237965306,"7 : 0.3212071, 1 : 0.04722544, 7 : 0.03251349"
27,45.06199,7.68795,2156751402823645440,"1 : 0.6191806, 1 : 0.0618773, 11 : 0.028631248"
28,45.06199,7.68795,2156751257717462761,"7 : 0.6210167, 7 : 0.04621322, 7 : 0.045155026"
29,45.06199,7.68795,2156750992864049382,"2 : 0.4598094, 13 : 0.11208748, 2 : 0.062666304"
30,45.06199,7.68795,2156750879399735124,"7 : 0.18459925, 11 : 0.16761102, 12 : 0.10265598"
31,45.06199,7.68795,2156750740970930963,"1 : 0.28321758, 13 : 0.06904677, 2 : 0.066192165"
32,45.06199,7.68795,2156750516491661729,"2 : 0.11688403, 7 : 0.09678034, 2 : 0.09584947"
33,45.06199,7.68795,2156750374044748170,"11 : 0.29794046, 1 : 0.14552335, 2 : 0.11486332"
34,45.06199,7.68795,2156750269153773145,"2 : 0.20156972, 7 : 0.19872156, 12 : 0.113836884"
35,45.06199,7.68795,2150230287095788611,"11 : 0.61379606, 1 : 0.18702003, 11 : 0.048306383"
36,45.06199,7.68795,2150128366278836779,"1 : 0.5506234, 1 : 0.24966508, 1 : 0.03258309"
37,45.06199,7.68795,2143622850267884529,"2 : 0.36721995, 11 : 0.19356309, 11 : 0.045431383"
38,45.06199,7.68795,2140682215621614329,"11 : 0.28212005, 11 : 0.197599, 4 : 0.03622061"
39,45.06199,7.68795,2137341912928027414,"11 : 0.55511665, 11 : 0.3402693, 11 : 0.026423432"
40,45.06199,7.68795,2132861699630951259,"7 : 0.9918876, 2 : 0.0003225531, 2 : 0.00026427946"
41,45.06199,7.68795,2132089023043901339,"1 : 0.53329265, 11 : 0.1898675, 1 : 0.04668943"
42,45.06199,7.68795,2127832716006828389,"1 : 0.6389487, 1 : 0.0662643, 2 : 0.0630894"
43,45.06199,7.68795,2127797250062650927,"1 : 0.28459343, 11 : 0.10926079, 1 : 0.06801025"
44,45.06199,7.68795,2127796349856002904,"1 : 0.45629576, 2 : 0.20463032, 11 : 0.051652323"
45,45.06199,7.68795,2127729750071429651,"11 : 0.5037936, 1 : 0.086735405, 13 : 0.038957093"
46,45.06199,7.68795,2127729601861631723,"11 : 0.25621116, 11 : 0.22950812, 2 : 0.21004035"
47,45.06199,7.68795,2127729403806590727,"11 : 0.41367707, 2 : 0.19292676, 11 : 0.051713306"
48,45.06199,7.68795,2127727681969144851,"11 : 0.8204327, 2 : 0.08040977, 7 : 0.005950638"
49,45.06199,7.68795,2117482012915933282,"2 : 0.46258402, 7 : 0.11471266, 3 : 0.08916935"
50,45.06199,7.68795,2110379414717681053,"1 : 0.9006086, 11 : 0.01394548, 1 : 0.006477876"
51,45.06199,7.68795,2105825940353649295,"11 : 0.6255506, 11 : 0.08251364, 2 : 0.03672626"
52,45.06199,7.68795,2103175409415477821,"11 : 0.40731686, 11 : 0.3143532, 2 : 0.1033206"
53,45.06199,7.68795,2103091223972737354,"1 : 0.65332747, 1 : 0.09717025, 2 : 0.023652961"
54,45.06199,7.68795,2100490390695109901,"11 : 0.7847636, 2 : 0.13655744, 11 : 0.010771581"
55,45.06199,7.68795,2100084501565774103,"11 : 0.49141136, 11 : 0.20698111, 11 : 0.114518106"
56,45.06199,7.68795,2099214557481710905,"1 : 0.5684929, 1 : 0.16852878, 11 : 0.03017864"
57,45.06199,7.68795,2098085462850811782,"2 : 0.5545299, 2 : 0.2697094, 13 : 0.03288244"
58,45.06199,7.68795,2097904063766208379,"8 : 0.73523694, 7 : 0.032611366, 3 : 0.028161312"
59,45.06199,7.68795,2097897691972599237,"11 : 0.75432587, 3 : 0.040579878, 11 : 0.02229683"
60,45.06199,7.68795,2081917769827370381,"11 : 0.6573037, 7 : 0.019019892, 2 : 0.015266548"
61,45.06199,7.68795,2081219012253142402,"1 : 0.65643483, 4 : 0.29544526, 13 : 0.0027729522"
62,45.06199,7.68795,2069257145494366849,"11 : 0.4986389, 12 : 0.15662159, 3 : 0.03835643"
63,45.06199,7.68795,2066111537250103552,"13 : 0.10693636, 12 : 0.07796226, 13 : 0.03900625"
64,45.06199,7.68795,2057567555635877600,"7 : 0.156147, 8 : 0.09751071, 7 : 0.08734208"
65,45.06199,7.68795,2054614787029032547,"2 : 0.48508266, 2 : 0.40452862, 3 : 0.053882856"
66,45.06199,7.68795,2052948705151103761,"1 : 0.107386775, 1 : 0.07371037, 13 : 0.02260404"
67,45.06199,7.68795,2050104322055904627,"11 : 0.7756494, 2 : 0.08325298, 3 : 0.030764926"
68,45.06199,7.68795,2042414044515456431,"7 : 0.22063287, 7 : 0.2051861, 14 : 0.13016495"
69,45.06199,7.68795,2034133257935048394,"11 : 0.27204078, 1 : 0.13532358, 1 : 0.10356085"
70,45.06199,7.68795,2032109893038466791,"11 : 0.15355389, 1 : 0.12869054, 2 : 0.08860656"
71,45.06199,7.68795,2031167582456713510,"11 : 0.5925991, 2 : 0.08492772, 11 : 0.068070136"
72,45.06199,7.68795,2022542629645741523,"1 : 0.94880426, 1 : 0.0069656256, 11 : 0.0020916925"
73,45.06199,7.68795,2022033712645212707,"1 : 0.46561638, 1 : 0.36815658, 4 : 0.026858535"
74,45.06199,7.68795,2019146197549226495,"7 : 0.29535642, 7 : 0.21278656, 9 : 0.09037238"
75,45.06199,7.68795,2017636406133807913,"4 : 0.29748526, 13 : 0.075123005, 8 : 0.03516684"
76,45.06199,7.68795,2013677864425012675,"1 : 0.43446007, 2 : 0.102316804, 11 : 0.052979074"
77,45.06199,7.68795,2006811641680904383,"6 : 0.59632456, 2 : 0.08572149, 6 : 0.06937957"
78,45.06199,7.68795,2004684086983242754,"1 : 0.5473853, 1 : 0.08538299, 11 : 0.022191716"
79,45.06199,7.68795,1992379023531012248,"1 : 0.64775616, 7 : 0.046090227, 7 : 0.021257646"
80,45.06199,7.68795,1978551575217292785,"1 : 0.76481146, 1 : 0.036212023, 11 : 0.024214616"
81,45.06199,7.68795,1974089760605258445,"7 : 0.11499589, 4 : 0.08007286, 7 : 0.075476944"
82,45.06199,7.68795,1973605701676495041,"1 : 0.8173423, 1 : 0.03996433, 11 : 0.037163757"
83,45.06199,7.68795,1969528014324804247,"11 : 0.96777076, 2 : 0.0098402435, 10 : 0.00094165956"
84,45.06199,7.68795,1966136872532869746,"11 : 0.9798456, 2 : 0.00527235, 10 : 0.0008607449"
85,45.0867,7.6816247,2210211566918845797,"13 : 0.4311845, 12 : 0.0749742, 8 : 0.043030847"
86,45.0867,7.6816247,2209855361272477573,"6 : 0.20800176, 13 : 0.13701148, 2 : 0.058968913"
87,45.0867,7.6816247,2209841380935638153,"2 : 0.5434669, 3 : 0.076159686, 2 : 0.049480136"
88,45.0867,7.6816247,2209835831183593443,"2 : 0.48201182, 2 : 0.35711607, 2 : 0.014119623"
89,45.0867,7.6816247,2209835426525731649,"1 : 0.33915922, 1 : 0.053485543, 1 : 0.023170616"
90,45.0867,7.6816247,2209730142691923026,"10 : 0.20510714, 9 : 0.11003258, 7 : 0.040350396"
91,45.0867,7.6816247,2209729946306397117,"7 : 0.3337223, 7 : 0.06036335, 7 : 0.04413132"
92,45.0867,7.6816247,2209729705326821204,"3 : 0.2127606, 8 : 0.08661216, 2 : 0.081174396"
93,45.0867,7.6816247,2209547706381334884,"12 : 0.4383006, 12 : 0.025020484, 12 : 0.022818243"
94,45.0867,7.6816247,2209119338523263645,"13 : 0.22292402, 2 : 0.1825301, 12 : 0.04498435"
95,45.0867,7.6816247,2209113141573410827,"12 : 0.56524765, 7 : 0.06699231, 7 : 0.0390067"
96,45.0867,7.6816247,2208818407042757465,"2 : 0.978635, 2 : 0.0036787887, 2 : 0.0021962263"
97,45.0867,7.6816247,2208306443182990418,"3 : 0.5358068, 7 : 0.22134979, 2 : 0.010885014"
98,45.0867,7.6816247,2208301564796376900,"2 : 0.28489542, 2 : 0.26509893, 7 : 0.02872278"
99,45.0867,7.6816247,2208301366883917873,"6 : 0.12306892, 7 : 0.041111015, 9 : 0.040998332"
100,45.0867,7.6816247,2208276780830320077,"5 : 0.24488305, 5 : 0.04856202, 6 : 0.03701626"
101,45.0867,7.6816247,2208248544035972255,"5 : 0.9804788, 4 : 0.0033009935, 9 : 0.0032663057"
102,45.0867,7.6816247,2208224565721592072,"7 : 0.18568894, 13 : 0.15519775, 14 : 0.12733784"
103,45.0867,7.6816247,2207990744195741861,"7 : 0.13730556, 7 : 0.094728045"
104,45.0867,7.6816247,2207875450177376611,"5 : 0.6346602, 9 : 0.112083696, 5 : 0.04679994"
105,45.0867,7.6816247,2207832546499331147,"2 : 0.81679237, 2 : 0.0259446, 3 : 0.0056553544"
106,45.0867,7.6816247,2207650373078908747,"3 : 0.57832795, 3 : 0.09140421, 3 : 0.045044392"
107,45.0867,7.6816247,2207523528308217255,"9 : 0.51783675, 2 : 0.06955192, 14 : 0.043100603"
108,45.0867,7.6816247,2206797257575889715,"2 : 0.4042805, 2 : 0.11997722, 3 : 0.007922162"
109,45.0867,7.6816247,2206307776813286183,"2 : 0.06963958, 2 : 0.052933317, 7 : 0.05181925"
110,45.0867,7.6816247,2206040233852639562,"7 : 0.9743028, 2 : 0.009071205, 7 : 0.0037227098"
111,45.0867,7.6816247,2205675484604341797,"2 : 0.253756, 2 : 0.07254107, 3 : 0.070298195"
112,45.0867,7.6816247,2205484400066503073,"2 : 0.109859236, 11 : 0.07845103, 7 : 0.061071917"
113,45.0867,7.6816247,2205316261324288806,"13 : 0.33530843, 6 : 0.07023552, 5 : 0.027816303"
114,45.0867,7.6816247,2204955446775744302,"7 : 0.3225872, 13 : 0.15949209, 2 : 0.06833999"
115,45.0867,7.6816247,2204955199848683769,"14 : 0.51138085, 7 : 0.12724943, 2 : 0.025175752"
116,45.0867,7.6816247,2204106005875472718,"2 : 0.13885245, 8 : 0.071266465, 2 : 0.04083002"
117,45.0867,7.6816247,2204060837040308985,"3 : 0.45317635, 13 : 0.19746755, 7 : 0.036170326"
118,45.0867,7.6816247,2203877532120518479,"2 : 0.27053952, 7 : 0.21122703, 2 : 0.18729596"
119,45.0867,7.6816247,2203360511920282121,"3 : 0.3773533, 2 : 0.19833985, 3 : 0.08200517"
120,45.0867,7.6816247,2202774482582680045,"13 : 0.80492115, 13 : 0.110447176, 6 : 0.005390175"
121,45.0867,7.6816247,2202615317780352259,"9 : 0.69034034, 5 : 0.07716683, 9 : 0.019776404"
122,45.0867,7.6816247,2202603595321481458,"2 : 0.5432814, 10 : 0.090884864, 7 : 0.028477719"
123,45.0867,7.6816247,2202554779939471591,"6 : 0.20796417, 12 : 0.02054154, 6 : 0.018323733"
124,45.0867,7.6816247,2202354117825848115,"7 : 0.3041378, 2 : 0.13110471, 2 : 0.06784653"
125,45.0867,7.6816247,2202303390512490724,"4 : 0.24466193, 8 : 0.122449264, 12 : 0.07596311"
126,45.0867,7.6816247,2202303270152750538,"3 : 0.8205012, 13 : 0.061023105, 13 : 0.024531338"
127,45.0867,7.6816247,2202303156654962527,"9 : 0.24525712, 9 : 0.085949376, 1 : 0.06460305"
128,45.0867,7.6816247,2200766273020406964,"1 : 0.87119097, 8 : 0.012141163, 9 : 0.010893719"
129,45.0867,7.6816247,2200444860075390296,"7 : 0.1183121, 2 : 0.049224406, 14 : 0.04149228"
130,45.0867,7.6816247,2200444698762553749,"2 : 0.91213465, 11 : 0.017504327, 9 : 0.0055958363"
131,45.0867,7.6816247,2200444498073597619,"2 : 0.18249038, 7 : 0.10832426, 12 : 0.02323363"
132,45.0867,7.6816247,2200444230921430660,"2 : 0.9701367, 14 : 0.02772844, 2 : 0.00052669994"
133,45.0867,7.6816247,2200286194010008070,"8 : 0.4497257, 8 : 0.14229983, 8 : 0.06494614"
134,45.0867,7.6816247,2199728510894024367,"3 : 0.12080219, 13 : 0.06613502, 3 : 0.036298838"
135,45.0867,7.6816247,2199593874062685618,"2 : 0.84886044, 6 : 0.0020763956, 2 : 0.0019530698"
136,45.0867,7.6816247,2199593733788309186,"8 : 0.58529836, 14 : 0.32988942, 8 : 0.011622538"
137,45.0867,7.6816247,2199554059808047560,"7 : 0.96555537, 9 : 0.005652813, 4 : 0.0023687067"
138,45.0867,7.6816247,2199550573846462930,"2 : 0.6542525, 2 : 0.06942519, 3 : 0.0058979224"
139,45.0867,7.6816247,2199545189819825941,"2 : 0.23941666, 7 : 0.0837768, 10 : 0.070699446"
140,45.0867,7.6816247,2199534116161072316,"2 : 0.22214423, 2 : 0.031316467, 14 : 0.013761311"
141,45.0867,7.6816247,2199523164522832283,"14 : 0.3872826, 3 : 0.04349386, 12 : 0.032198753"
142,45.0867,7.6816247,2199522845638378877,"7 : 0.5973132, 7 : 0.10165253, 2 : 0.024089647"
143,45.0867,7.6816247,2199522647860239565,"2 : 0.06829526, 6 : 0.02377662, 2 : 0.019272434"
144,45.0867,7.6816247,2199462341602126222,"7 : 0.13904452, 6 : 0.028638385, 6 : 0.025570408"
145,45.0867,7.6816247,2199424535900596923,"9 : 0.5087601, 9 : 0.097802974, 1 : 0.06725651"
146,45.0867,7.6816247,2199389079050202541,"7 : 0.56687385, 13 : 0.035262555, 13 : 0.034276154"
147,45.0867,7.6816247,2198918805925791696,"13 : 0.09393055, 2 : 0.08909669, 2 : 0.087916866"
148,45.0867,7.6816247,2198309101973395697,"7 : 0.6904045, 7 : 0.07426179, 2 : 0.052488603"
149,45.0867,7.6816247,2197930362294926750,"2 : 0.512722, 12 : 0.049243916, 9 : 0.042388387"
150,45.0867,7.6816247,2197501796524749975,"2 : 0.197336, 6 : 0.07368787, 2 : 0.052508187"
151,45.0867,7.6816247,2197306616391576627,"13 : 0.24045546, 7 : 0.052880757, 2 : 0.031899177"
152,45.0867,7.6816247,2196954184151104807,"9 : 0.5014935, 13 : 0.051912274, 5 : 0.033230603"
153,45.0867,7.6816247,2196953993687780940,"9 : 0.4727407, 2 : 0.12931798, 4 : 0.0683883"
154,45.0867,7.6816247,2196905324057899598,"2 : 0.09609666, 6 : 0.021702306, 2 : 0.013431691"
155,45.0867,7.6816247,2196693593184476917,"4 : 0.38189667, 2 : 0.044358283, 7 : 0.03637483"
156,45.0867,7.6816247,2196645975846556315,"2 : 0.3693137, 2 : 0.039382413, 3 : 0.033066776"
157,45.0867,7.6816247,2196546115331342822,"12 : 0.41947746, 2 : 0.22608769, 12 : 0.04019703"
158,45.0867,7.6816247,2196265805214341864,"7 : 0.36092487, 7 : 0.15641817, 2 : 0.05894384"
159,45.0867,7.6816247,2195459914336421615,"10 : 0.41927943, 2 : 0.17699413, 6 : 0.15237845"
160,45.0867,7.6816247,2195450261456056460,"13 : 0.13709398, 7 : 0.09546645, 7 : 0.051889904"
161,45.0867,7.6816247,2195449568456546772,"2 : 0.40416375, 7 : 0.08693323, 7 : 0.03491958"
162,45.0867,7.6816247,2194962858870594165,"6 : 0.1058905, 6 : 0.03685704, 6 : 0.035026807"
163,45.0867,7.6816247,2194793662031051651,"8 : 0.528989, 9 : 0.03165381, 3 : 0.025620753"
164,45.0867,7.6816247,2194775536958458329,"2 : 0.37750867, 2 : 0.106372304, 3 : 0.030814959"
165,45.0867,7.6816247,2194653981591048425,"13 : 0.345463, 3 : 0.093722545, 9 : 0.05896953"
166,45.0867,7.6816247,2194528797295098981,"7 : 0.54708606, 2 : 0.24724269, 11 : 0.01148301"
167,45.0867,7.6816247,2194428407643740430,"14 : 0.30437624, 8 : 0.18246402, 9 : 0.14506258"
168,45.0867,7.6816247,2194427983549279031,"7 : 0.18466419, 3 : 0.06878508, 7 : 0.053510007"
169,45.0867,7.6816247,2194404112077456359,"7 : 0.91022635, 7 : 0.053771026, 7 : 0.0036564101"
170,45.0867,7.6816247,2194280927795061972,"4 : 0.2976308, 9 : 0.1110544, 2 : 0.059594117"
171,45.0867,7.6816247,2193850242458232666,"13 : 0.15476231, 3 : 0.14209335, 2 : 0.10626347"
172,45.0867,7.6816247,2193849799808323749,"3 : 0.1779132, 6 : 0.06771548, 6 : 0.030860165"
173,45.0867,7.6816247,2193806861560639286,"12 : 0.897906, 2 : 0.0122857485, 2 : 0.011085602"
174,45.0867,7.6816247,2193570938545629815,"13 : 0.2440391, 13 : 0.14533359, 7 : 0.06774198"
175,45.0867,7.6816247,2193082147166807362,"2 : 0.11422049, 2 : 0.06405347, 1 : 0.06063666"
176,45.0867,7.6816247,2192909133166967410,"3 : 0.35962993, 13 : 0.35408628, 2 : 0.015990749"
177,45.0867,7.6816247,2192312845694165757,"3 : 0.3848759, 6 : 0.22047459, 6 : 0.16870128"
178,45.0867,7.6816247,2192264249699562216,"2 : 0.27016595, 9 : 0.19586664, 1 : 0.08843447"
179,45.0867,7.6816247,2192037151382753802,"2 : 0.1831405, 2 : 0.13554977, 2 : 0.119816296"
180,45.0867,7.6816247,2191473536397237054,"6 : 0.764124, 6 : 0.11086123, 6 : 0.059547193"
181,45.0867,7.6816247,2190762802491169559,"1 : 0.28082442, 9 : 0.10760122, 13 : 0.04062449"
182,45.0867,7.6816247,2189997123998150500,"3 : 0.96985763, 7 : 0.0016601654, 2 : 0.0014029819"
183,45.0867,7.6816247,2189377704554960379,"13 : 0.20006463, 9 : 0.11826186, 7 : 0.045917805"
184,45.0867,7.6816247,2189353048254486835,"7 : 0.12476196, 2 : 0.097507656, 7 : 0.03726477"
185,45.0867,7.6816247,2189301438164438304,"7 : 0.30026588, 7 : 0.121641316, 7 : 0.040775236"
186,45.0867,7.6816247,2189227933441363346,"13 : 0.3512843, 7 : 0.065472886, 3 : 0.060288012"
187,45.0867,7.6816247,2188912419144350983,"4 : 0.82327336, 2 : 0.02826194, 7 : 0.019152032"
188,45.0867,7.6816247,2188673929343281286,"3 : 0.08393225, 8 : 0.079965495, 13 : 0.05777573"
189,45.0867,7.6816247,2188188018025086057,"2 : 0.42985544, 2 : 0.36536056, 8 : 0.058745753"
190,45.0867,7.6816247,2187108709528883837,"3 : 0.22026855, 9 : 0.14775605, 11 : 0.058047477"
191,45.0867,7.6816247,2186737180806959892,"3 : 0.18519825, 5 : 0.15188225, 6 : 0.1275155"
192,45.0867,7.6816247,2186726722175610553,"5 : 0.14007913, 6 : 0.065042436, 5 : 0.056502838"
193,45.0867,7.6816247,2185679740296305320,"3 : 0.4664981, 13 : 0.22127067, 2 : 0.01257667"
194,45.0867,7.6816247,2185265515514122372,"7 : 0.108604096, 7 : 0.25533468"
195,45.0867,7.6816247,2185255998663514484,"2 : 0.8045074, 2 : 0.031542797, 4 : 0.014512356"
196,45.0867,7.6816247,2184964952126230227,"12 : 0.93891567, 3 : 0.011777213, 3 : 0.004819371"
197,45.0867,7.6816247,2184592107373821330,"2 : 0.9577741, 3 : 0.004376238, 9 : 0.0030661104"
