,lat,lng,ids,predictions,label,cores
0,45.016118,7.666984,33060343970,"13 : 0.41650268, 13 : 0.14456597, 13 : 0.11694176",0,1
1,45.018692,7.665238,32879114028,"2 : 0.45655766, 7 : 0.40216637, 8 : 0.022522096",0,1
2,45.018692,7.665238,44200042870,"7 : 0.4175293, 7 : 0.24968956, 4 : 0.026740791",0,1
3,45.018692,7.665238,46015485951,"4 : 0.12646034, 3 : 0.10168742, 7 : 0.095123574",0,1
4,45.018692,7.665238,44200041270,"3 : 0.38932285, 7 : 0.38448963, 7 : 0.02479261",0,1
5,45.018692,7.665238,46015482161,"7 : 0.7795218, 9 : 0.030513458, 7 : 0.021549689",0,1
6,45.018692,7.665238,44200039810,"3 : 0.085494414, 7 : 0.08143903, 4 : 0.07408549",0,1
7,45.018692,7.665238,46015480061,"7 : 0.21074697, 7 : 0.077617146, 7 : 0.060949303",0,1
8,45.018692,7.665238,44200038770,"3 : 0.23660919, 7 : 0.15057643, 7 : 0.04530276",0,1
9,45.018692,7.665238,45104020595,"3 : 0.1473404, 7 : 0.06372518, 2 : 0.04168365",0,1
10,45.018692,7.665238,44200036660,"7 : 0.2136597, 7 : 0.1780113, 3 : 0.0785589",0,1
11,45.018692,7.665238,45104016935,"3 : 0.5632574, 7 : 0.3747901, 7 : 0.0030944934",0,1
12,45.018692,7.665238,45569502624,"3 : 0.89206886, 7 : 0.010976742, 7 : 0.010157565",0,1
13,45.018692,7.665238,45380227785,"3 : 0.686917, 7 : 0.14162767, 7 : 0.02700713",0,1
14,45.018692,7.665238,45569499934,"3 : 0.652092, 7 : 0.03609711, 7 : 0.034283847",0,1
15,45.018692,7.665238,46242781572,"7 : 0.2718866, 6 : 0.09222683, 7 : 0.03725047",0,1
16,45.018692,7.665238,46242780812,"7 : 0.7270344, 7 : 0.13710167, 3 : 0.03485039",0,1
17,45.018692,7.665238,46242778842,"3 : 0.44767913, 2 : 0.1158588, 7 : 0.087913595",0,1
18,45.018692,7.665238,46292971511,"3 : 0.25929433, 7 : 0.1691413, 7 : 0.08625",0,1
19,45.018692,7.665238,32421178458,"7 : 0.71027625, 2 : 0.07293156, 3 : 0.06585302",0,1
20,45.018692,7.665238,32421177658,"2 : 0.22678974, 7 : 0.20331782, 7 : 0.10482791",0,1
21,45.018692,7.665238,46292967401,"7 : 0.723232, 2 : 0.1624017, 3 : 0.074031055",0,1
22,45.018692,7.665238,46292965671,"7 : 0.50240225, 3 : 0.106147334, 7 : 0.1002644",0,1
23,45.018692,7.665238,45380210515,"7 : 0.8813372, 3 : 0.03139241, 4 : 0.019789563",0,1
24,45.018692,7.665238,46292963021,"7 : 0.33450937, 7 : 0.20973286, 3 : 0.1238552",0,1
25,45.018692,7.665238,31354150397,"2 : 0.23488078, 7 : 0.13988164, 7 : 0.13431473",0,1
26,45.018692,7.665238,44476041500,"7 : 0.8510438, 7 : 0.036370814, 4 : 0.035975974",0,1
27,45.018692,7.665238,44476040830,"2 : 0.17526369, 7 : 0.0838324, 7 : 0.07369569",0,1
28,45.018692,7.665238,31354149837,"2 : 0.3928003, 7 : 0.1877918, 4 : 0.16393821",0,1
29,45.018692,7.665238,45569486284,"2 : 0.37262863, 2 : 0.16693488, 3 : 0.05717953",0,1
30,45.018692,7.665238,45569485434,"7 : 0.4210791, 7 : 0.2791893, 4 : 0.077259555",0,1
31,45.018692,7.665238,45569484604,"2 : 0.3925201, 2 : 0.16545716, 7 : 0.11957717",0,1
32,45.018692,7.665238,44476037230,"7 : 0.46571937, 7 : 0.12221337, 7 : 0.056479044",0,1
33,45.018692,7.665238,45569482424,"5 : 0.17285278, 7 : 0.13579804, 12 : 0.10704762",0,1
34,45.018692,7.665238,45569480004,"2 : 0.52551526, 2 : 0.18285827, 7 : 0.07305648",0,1
35,45.018692,7.665238,46292954441,"2 : 0.31817204, 7 : 0.11934855, 7 : 0.07950285",0,1
36,45.018692,7.665238,32421163278,"2 : 0.18029872, 3 : 0.16204391, 7 : 0.07298819",0,1
37,45.018692,7.665238,46292973091,"7 : 0.5177604, 4 : 0.21371472, 7 : 0.05339756",0,1
38,45.018692,7.665238,45380211295,"13 : 0.10192979, 13 : 0.09887348, 13 : 0.052377142",0,1
39,45.018692,7.665238,31354148347,"3 : 0.28237346, 7 : 0.1048399, 7 : 0.07489791",0,1
40,45.018692,7.665238,46292952521,"9 : 0.25272077, 7 : 0.20863827, 13 : 0.07090119",0,1
41,45.018692,7.665238,46242761342,"2 : 0.48390666, 2 : 0.25166976, 3 : 0.17667606",0,1
42,45.01923,7.667534,34475759955,"9 : 0.9905874, 9 : 0.006953692, 2 : 0.0004507219",0,1
43,45.021582,7.66289,33354511516,"8 : 0.4241907, 8 : 0.1563322, 14 : 0.08392882",0,1
44,45.021582,7.66289,33288078812,"4 : 0.2614175, 9 : 0.2152007, 1 : 0.17190242",0,1
45,45.021582,7.66289,33850981445,"9 : 0.056291115, 4 : 0.0492882, 2 : 0.027291464",0,1
46,45.023108,7.668669,40888358093,"13 : 0.5204463, 13 : 0.02884227, 8 : 0.02430947",1,1
47,45.023108,7.668669,40888357913,"13 : 0.97802645, 13 : 0.0017179637, 13 : 0.0017137509",1,1
48,45.023108,7.668669,46938714965,"13 : 0.94438505, 2 : 0.0039915405, 13 : 0.0027415866",1,1
49,45.023108,7.668669,40888357703,"13 : 0.9955324, 13 : 0.0012471462, 7 : 0.0004940661",1,1
50,45.023108,7.668669,46938714655,"13 : 0.27591944, 7 : 0.2747926, 13 : 0.10164123",1,1
51,45.023108,7.668669,40888357273,"2 : 0.66566515, 13 : 0.06223651, 8 : 0.024047472",1,1
52,45.023108,7.668669,47854998681,"13 : 0.21257105, 13 : 0.109851204, 7 : 0.08528106",1,1
53,45.023108,7.668669,47802860512,"13 : 0.2805229, 13 : 0.057184387, 13 : 0.053843524",1,1
54,45.023108,7.668669,47802860262,"13 : 0.9454862, 13 : 0.0022066042, 13 : 0.0020535658",1,1
55,45.023108,7.668669,47802859872,"13 : 0.99714464, 13 : 0.00036922493, 8 : 0.0001399303",1,1
56,45.023108,7.668669,47802859692,"13 : 0.44790688, 14 : 0.037754856, 13 : 0.029226005",1,1
57,45.023108,7.668669,47802859482,"13 : 0.17140836, 13 : 0.037509143, 7 : 0.03679335",1,1
58,45.023108,7.668669,46938714205,"13 : 0.42314076, 13 : 0.0504339, 7 : 0.02753532",1,1
59,45.023108,7.668669,47802860072,"13 : 0.99507433, 13 : 0.00042734313, 13 : 0.0002816688",1,1
60,45.023371,7.669023,49614085636,"13 : 0.12758528, 2 : 0.079623014, 14 : 0.021610638",1,1
61,45.023371,7.669023,49608800862,"9 : 0.6359469, 7 : 0.043457404, 7 : 0.02223917",1,1
62,45.023371,7.669023,49608033513,"13 : 0.31686255, 13 : 0.07258668, 12 : 0.03664197",1,1
63,45.023371,7.669023,49744182747,"9 : 0.180904, 7 : 0.16839793, 13 : 0.088633455",1,1
64,45.023371,7.669023,49743305493,"13 : 0.7398385, 9 : 0.03168509, 13 : 0.021400066",1,1
65,45.023371,7.669023,49743304948,"13 : 0.8433958, 13 : 0.0093911085, 2 : 0.005013772",1,1
66,45.023371,7.669023,49743200808,"13 : 0.8433958, 13 : 0.0093911085, 2 : 0.005013772",1,1
67,45.023371,7.669023,49744150662,"13 : 0.105085544, 13 : 0.027636845, 13 : 0.021909546",1,1
68,45.023371,7.669023,49613566813,"7 : 0.116451226, 13 : 0.09865999, 7 : 0.09407898",1,1
69,45.023371,7.669023,49744071412,"13 : 0.7398385, 9 : 0.03168509, 13 : 0.021400066",1,1
70,45.023371,7.669023,49208052786,"13 : 0.7347192, 2 : 0.011420808, 13 : 0.010504067",1,1
71,45.023371,7.669023,49208271372,"7 : 0.061905477, 7 : 0.04110117, 7 : 0.03222848",1,1
72,45.023371,7.669023,49208271247,"6 : 0.12553643, 6 : 0.020151334, 9 : 0.019159697",1,1
73,45.023371,7.669023,49207568198,"13 : 0.7644302, 13 : 0.034297615, 7 : 0.018599976",1,1
74,45.023371,7.669023,49208270717,"6 : 0.0563777, 6 : 0.039230607, 13 : 0.03506256",1,1
75,45.023371,7.669023,49208269557,"13 : 0.2721712, 13 : 0.10640528, 13 : 0.039810035",1,1
76,45.023371,7.669023,49208050311,"13 : 0.48360693, 14 : 0.029888798, 4 : 0.01908629",1,1
77,45.023371,7.669023,49207566703,"13 : 0.22021677, 13 : 0.18978794, 9 : 0.033510793",1,1
78,45.023371,7.669023,49208268377,"13 : 0.3271808, 13 : 0.14237699, 13 : 0.018910633",1,1
79,45.023371,7.669023,49208267642,"13 : 0.5435515, 13 : 0.15241008, 8 : 0.059602566",1,1
80,45.023371,7.669023,49208047466,"13 : 0.19976275, 2 : 0.035919234, 2 : 0.02980457",1,1
81,45.023371,7.669023,49208265677,"13 : 0.4658776, 9 : 0.12400533, 2 : 0.03466152",1,1
82,45.023371,7.669023,49208265607,"13 : 0.06887231, 2 : 0.06300129, 13 : 0.05852996",1,1
83,45.023371,7.669023,49207563063,"9 : 0.05669448, 13 : 0.04339809, 13 : 0.03673314",1,1
84,45.023371,7.669023,49208265192,"7 : 0.37276182, 13 : 0.071881734, 13 : 0.035462335",1,1
85,45.023371,7.669023,49207562798,"7 : 0.24227867, 9 : 0.06097324, 5 : 0.049161706",1,1
86,45.023371,7.669023,49208046101,"13 : 0.44397485, 13 : 0.09433048, 12 : 0.060730048",1,1
87,45.023371,7.669023,49208263157,"13 : 0.4413701, 13 : 0.049729273, 13 : 0.03831626",1,1
88,45.023371,7.669023,49208261267,"13 : 0.14767104, 13 : 0.056904495, 13 : 0.045132082",1,1
89,45.023371,7.669023,49207557718,"14 : 0.0799936, 12 : 0.039560825, 6 : 0.013084669",1,1
90,45.023371,7.669023,49208259662,"13 : 0.39187756, 7 : 0.24065317, 8 : 0.059158005",1,1
91,45.023371,7.669023,49207556253,"7 : 0.10349088, 7 : 0.1034486, 7 : 0.075171396",1,1
92,45.023371,7.669023,49743852121,"13 : 0.2901296, 13 : 0.20510219, 13 : 0.08439976",1,1
93,45.023371,7.669023,49743206313,"2 : 0.2677968, 2 : 0.030307338, 7 : 0.023625234",1,1
94,45.023371,7.669023,49743205878,"13 : 0.062494315, 13 : 0.03965312, 14 : 0.03471022",1,1
95,45.023371,7.669023,49744075057,"13 : 0.61008716, 14 : 0.07892314, 7 : 0.07543143",1,1
96,45.023371,7.669023,49743749371,"7 : 0.16723596, 13 : 0.15859325, 13 : 0.08997679",1,1
97,45.023371,7.669023,49743746671,"6 : 0.09389264, 13 : 0.05680524, 13 : 0.038412053",1,1
98,45.023371,7.669023,49743194403,"13 : 0.18550521, 7 : 0.11896008",1,1
99,45.023371,7.669023,49743194133,"13 : 0.2589779, 7 : 0.07254568, 13 : 0.0706867",1,1
100,45.023371,7.669023,49743741431,"9 : 0.180904, 7 : 0.16839793, 13 : 0.088633455",1,1
101,45.023371,7.669023,49743193713,"7 : 0.16850138, 7 : 0.15116225",1,1
102,45.023371,7.669023,49743740971,"7 : 0.8908009, 7 : 0.023533892, 7 : 0.010748189",1,1
103,45.023371,7.669023,49744064282,"13 : 0.45147267, 13 : 0.15800455, 13 : 0.06337839",1,1
104,45.023371,7.669023,49744064177,"13 : 0.44996768, 13 : 0.14374933, 7 : 0.14253908",1,1
105,45.023371,7.669023,49744063907,"2 : 0.97081256, 6 : 0.0075172875, 6 : 0.0019833322",1,1
106,45.023371,7.669023,49743739766,"13 : 0.09318833, 13 : 0.049400184, 13 : 0.04076468",1,1
107,45.023371,7.669023,49743192328,"13 : 0.61765736, 13 : 0.01595907, 2 : 0.01033516",1,1
108,45.023371,7.669023,49743739396,"13 : 0.09916922, 10 : 0.076605104, 13 : 0.047059305",1,1
109,45.023371,7.669023,49743739196,"13 : 0.43482703, 13 : 0.065377876, 13 : 0.023346307",1,1
110,45.023371,7.669023,49744062827,"13 : 0.36708015, 13 : 0.18492368, 12 : 0.07160856",1,1
111,45.023371,7.669023,49743738771,"13 : 0.17759894, 13 : 0.031656798, 13 : 0.025633594",1,1
112,45.023371,7.669023,49743191098,"9 : 0.19133903, 13 : 0.11484547, 13 : 0.08076378",1,1
113,45.023371,7.669023,49743738346,"13 : 0.7152492, 13 : 0.044449687, 13 : 0.008617955",1,1
