,lat,lon,id,predictions
0,45.0647194444,7.6840194444,2165473503322843746,"1 : 0.8788639, 1 : 0.020362325, 11 : 0.011054373"
1,45.0647194444,7.6840194444,2100872400431470915,"7 : 0.09403071, 7 : 0.020485207, 2 : 0.018888602"
2,45.0647194444,7.6840194444,2090083594224284715,"8 : 0.6464104, 9 : 0.027135357, 4 : 0.020726984"
3,45.0647194444,7.6840194444,2041439974075036859,"1 : 0.88045603, 11 : 0.012716056, 11 : 0.0126850605"
4,45.0647194444,7.6840194444,1979205682185648541,"11 : 0.62955445, 11 : 0.14503993, 11 : 0.043495964"
5,45.0647194444,7.6840194444,1946421266820329352,"13 : 0.13029401, 7 : 0.12988937, 7 : 0.11169706"
6,45.0647194444,7.6840194444,1945671099049509922,"10 : 0.3902751, 10 : 0.11872533, 11 : 0.045158647"
7,45.0647194444,7.6840194444,1921022734058621366,"11 : 0.45957094, 4 : 0.10505141, 2 : 0.032882806"
8,45.0647194444,7.6840194444,1919715879085155305,"1 : 0.64343417, 1 : 0.109474115, 11 : 0.028360298"
9,45.0647194444,7.6840194444,1881259308558652815,"14 : 0.15360454, 7 : 0.09079848, 7 : 0.07856792"
10,45.0647194444,7.6840194444,1868959540322998315,"7 : 0.95240414, 2 : 0.0046161623, 7 : 0.00084241113"
11,45.0647194444,7.6840194444,1866678532701597653,"13 : 0.12140624, 13 : 0.050668642, 1 : 0.05024397"
12,45.0647194444,7.6840194444,1866677808194228743,"13 : 0.14180465, 13 : 0.08313606, 13 : 0.07854671"
13,45.0647194444,7.6840194444,1810906354653369232,"12 : 0.9989561, 4 : 0.00043126612, 2 : 7.213582e-05"
14,45.0647194444,7.6840194444,1756624164100700890,"12 : 0.33062264, 4 : 0.10718699, 4 : 0.072363846"
15,45.0647194444,7.6840194444,1710231473070975200,"11 : 0.25873718, 1 : 0.22341506, 11 : 0.12791683"
16,45.0647194444,7.6840194444,1697009688997991826,"6 : 0.84880936, 2 : 0.016670518, 11 : 0.011581402"
17,45.0647194444,7.6840194444,1640576786456713057,"11 : 0.58749104, 1 : 0.13052686, 1 : 0.09316989"
18,45.0647194444,7.6840194444,1624003829665515714,"7 : 0.19342676, 12 : 0.100466065, 7 : 0.06716223"
19,45.0647194444,7.6840194444,1622564477969240658,"11 : 0.78600335, 1 : 0.034124605, 11 : 0.02189426"
20,45.0647194444,7.6840194444,1526210924230144043,"4 : 0.9878413, 2 : 0.009910164, 4 : 4.5234603e-05"
21,45.0647194444,7.6840194444,2193679571740547084,"11 : 0.43848017, 11 : 0.34970358, 11 : 0.032028906"
22,45.0647194444,7.6840194444,1476112539796345773,"11 : 0.9023935, 2 : 0.011295846, 2 : 0.009963807"
23,45.06199,7.68795,2209021936783919478,"1 : 0.8115643, 13 : 0.016901398, 11 : 0.013721778"
24,45.06199,7.68795,2194443212891015790,"3 : 0.44174153, 7 : 0.045484923, 11 : 0.03151478"
25,45.06199,7.68795,2194441889889941130,"1 : 0.6229064, 11 : 0.03703545, 11 : 0.028998988"
26,45.06199,7.68795,2193058931979488332,"11 : 0.4958224, 11 : 0.1540154, 2 : 0.10604669"
27,45.06199,7.68795,2191558211652396699,"11 : 0.65213233, 2 : 0.19461817, 11 : 0.0068660076"
28,45.06199,7.68795,2189203207279577023,"11 : 0.66335905, 2 : 0.12699834, 11 : 0.038211666"
29,45.06199,7.68795,2171219875771699588,"11 : 0.3296823, 2 : 0.09366907, 1 : 0.08114009"
30,45.06199,7.68795,2167013909792498116,"11 : 0.5574339, 11 : 0.24711646, 2 : 0.061762094"
31,45.06199,7.68795,2166885357638512768,"7 : 0.849206, 2 : 0.032932974, 3 : 0.017551761"
32,45.06199,7.68795,2163875772450940539,"11 : 0.64187443, 11 : 0.09301885, 2 : 0.038601927"
33,45.06199,7.68795,2163129583078655490,"1 : 0.8520015, 1 : 0.04752214, 11 : 0.043582823"
34,45.06199,7.68795,2162600904298318827,"1 : 0.26737082, 1 : 0.24628043, 1 : 0.23033138"
35,45.06199,7.68795,2160937987213632552,"11 : 0.8208804, 2 : 0.10635622, 11 : 0.003296346"
36,45.06199,7.68795,2158767011915216752,"11 : 0.4693217, 11 : 0.1637148, 2 : 0.07004693"
37,45.06199,7.68795,2158757508813674209,"11 : 0.47860712, 11 : 0.1846552, 2 : 0.05973886"
38,45.06199,7.68795,2156752042530550798,"13 : 0.5877835, 13 : 0.02109088, 9 : 0.016136993"
39,45.06199,7.68795,2156751883138651273,"3 : 0.19904503, 1 : 0.18427627, 11 : 0.074381664"
40,45.06199,7.68795,2156751760144966158,"13 : 0.77943206, 12 : 0.050099306, 12 : 0.01566386"
41,45.06199,7.68795,2156751535237965306,"7 : 0.3212071, 1 : 0.04722544, 7 : 0.03251349"
42,45.06199,7.68795,2156751402823645440,"1 : 0.6191806, 1 : 0.0618773, 11 : 0.028631248"
43,45.06199,7.68795,2156751257717462761,"7 : 0.6210167, 7 : 0.04621322, 7 : 0.045155026"
44,45.06199,7.68795,2156750992864049382,"2 : 0.4598094, 13 : 0.11208748, 2 : 0.062666304"
45,45.06199,7.68795,2156750879399735124,"7 : 0.18459925, 11 : 0.16761102, 12 : 0.10265598"
46,45.06199,7.68795,2156750740970930963,"1 : 0.28321758, 13 : 0.06904677, 2 : 0.066192165"
47,45.06199,7.68795,2156750516491661729,"2 : 0.11688403, 7 : 0.09678034, 2 : 0.09584947"
48,45.06199,7.68795,2156750374044748170,"11 : 0.29794046, 1 : 0.14552335, 2 : 0.11486332"
49,45.06199,7.68795,2156750269153773145,"2 : 0.20156972, 7 : 0.19872156, 12 : 0.113836884"
50,45.06199,7.68795,2150230287095788611,"11 : 0.61379606, 1 : 0.18702003, 11 : 0.048306383"
51,45.06199,7.68795,2150128366278836779,"1 : 0.5506234, 1 : 0.24966508, 1 : 0.03258309"
52,45.06199,7.68795,2143622850267884529,"2 : 0.36721995, 11 : 0.19356309, 11 : 0.045431383"
53,45.06199,7.68795,2140682215621614329,"11 : 0.28212005, 11 : 0.197599, 4 : 0.03622061"
54,45.06199,7.68795,2132861699630951259,"7 : 0.9918876, 2 : 0.0003225531, 2 : 0.00026427946"
55,45.06199,7.68795,2132089023043901339,"1 : 0.53329265, 11 : 0.1898675, 1 : 0.04668943"
56,45.06199,7.68795,2127832716006828389,"1 : 0.6389487, 1 : 0.0662643, 2 : 0.0630894"
57,45.06199,7.68795,2127797250062650927,"1 : 0.28459343, 11 : 0.10926079, 1 : 0.06801025"
