,lat,lon,id,predictions
0,45.073379,7.684453,50493221516,"1 : 0.5318057, 11 : 0.31802028, 11 : 0.06049609"
1,45.071171,7.684957,48022561868,"1 : 0.41576058, 11 : 0.32664558, 9 : 0.0788298"
2,45.030524,7.722873,31613474547,"7 : 0.52798593, 8 : 0.11183017, 8 : 0.08080519"
3,45.073334,7.685494,49737062261,"13 : 0.9912401, 11 : 0.0010462169, 11 : 0.00041864146"
4,45.075445,7.638072,46531786212,"2 : 0.81725, 11 : 0.043412533, 12 : 0.02582741"
5,45.031474,7.662456,27116462978,"7 : 0.5070786, 8 : 0.08244418, 7 : 0.07144761"
6,45.032463,7.641082,46819673072,"5 : 0.39149505, 6 : 0.18553507, 6 : 0.055557903"
7,45.072187,7.576339,39685718653,"7 : 0.7258262, 7 : 0.057964925, 2 : 0.024243668"
8,45.058486,7.654176,45845478634,"7 : 0.56140494, 13 : 0.1566788, 2 : 0.14138047"
9,45.066711,7.680913,32681190128,"7 : 0.12152883, 7 : 0.07683968, 6 : 0.056283362"
10,45.080616,7.766979,45673388795,"11 : 0.43655625, 11 : 0.21269429, 1 : 0.047599684"
11,45.061707,7.693959,50579920277,"7 : 0.075092025, 10 : 0.06920408, 7 : 0.06450862"
12,45.07202,7.690815,31861981877,"11 : 0.31785282, 1 : 0.099867664, 1 : 0.092182055"
13,45.069183,7.69353,46732166621,"1 : 0.3534774, 1 : 0.12909952, 1 : 0.064424604"
14,45.068747,7.692688,46679434282,"1 : 0.46528575, 1 : 0.24326962, 11 : 0.13917021"
15,45.068919,7.692819,46679433922,"11 : 0.1580244, 13 : 0.06887779, 1 : 0.045521203"
16,45.069769,7.689733,46732165971,"4 : 0.83815145, 4 : 0.077227056, 9 : 0.0056854286"
17,45.069763,7.689905,46679433422,"7 : 0.2530274, 7 : 0.23897465, 7 : 0.059848364"
18,45.070019,7.69025,46732165601,"2 : 0.36028445, 11 : 0.17984733, 1 : 0.042837564"
19,45.069983,7.690158,46679432772,"12 : 0.3068202, 2 : 0.10837446, 11 : 0.08196015"
20,45.069969,7.690163,46732165071,"2 : 0.91025877, 9 : 0.014235822, 11 : 0.008843577"
21,45.069958,7.690166,46679431482,"2 : 0.23128077, 1 : 0.08068079, 9 : 0.061613705"
22,45.071336,7.692705,46732164481,"1 : 0.47475314, 11 : 0.086273976, 11 : 0.034515418"
23,45.0694,7.687952,46679430792,"3 : 0.2173775, 7 : 0.05018633, 8 : 0.041446667"
24,45.070094,7.687386,46732164031,"3 : 0.6087796, 7 : 0.22491448, 7 : 0.017492851"
25,45.070369,7.686683,46679430142,"9 : 0.40847176, 13 : 0.027054098, 9 : 0.026182622"
26,45.071261,7.684802,46679429582,"1 : 0.09408999, 13 : 0.08527514, 13 : 0.072622254"
27,45.071327,7.692586,46679429142,"1 : 0.48653418, 11 : 0.09791885, 9 : 0.05077222"
28,45.067875,7.693908,46679428732,"7 : 0.17995834, 2 : 0.12953912, 13 : 0.12069233"
29,45.067997,7.693927,46679428362,"1 : 0.15855943, 1 : 0.14345321, 13 : 0.08183795"
30,45.063922,7.696922,46732162461,"9 : 0.18485257, 9 : 0.17560533, 5 : 0.1415223"
31,45.074375,7.684933,39729144353,"1 : 0.5829241, 11 : 0.16234386, 1 : 0.15650724"
32,45.073722,7.685013,39729131853,"11 : 0.90024257, 11 : 0.0686012, 1 : 0.0010785246"
33,45.071975,7.685658,45778708685,"1 : 0.8635049, 1 : 0.0044292114, 1 : 0.0032866218"
34,45.071666,7.684788,32819141028,"1 : 0.9119338, 1 : 0.004732627, 6 : 0.0010438479"
