,lat,lng,ids,predictions,label,cores
0,45.010177,7.665486,34344623142,"2 : 0.74428654, 7 : 0.10224833, 12 : 0.07847873",0,1
1,45.011722,7.670044,33354902665,"9 : 0.2514151, 9 : 0.10874502, 8 : 0.104182035",0,1
2,45.013383,7.624576,36201898106,"8 : 0.91384757, 8 : 0.0030770742, 8 : 0.0015905851",0,1
3,45.013785,7.625252,35263525935,"8 : 0.90725565, 8 : 0.0025473202, 8 : 0.0013681186",0,1
4,45.013815,7.625069,49682576077,"8 : 0.8674973, 8 : 0.008186496, 8 : 0.0026885066",0,1
5,45.014012,7.625498,34920259414,"8 : 0.8737234, 8 : 0.007026636, 8 : 0.0015447687",0,1
6,45.01405,7.625445,24811127658,"8 : 0.9042396, 8 : 0.0066237967, 8 : 0.00403486",0,1
7,45.01624,7.659882,28184329628,"10 : 0.23441845, 10 : 0.18493904, 7 : 0.15549973",0,1
8,45.017291,7.662577,46666180365,"8 : 0.6859135, 8 : 0.24963333, 8 : 0.03894442",0,1
9,45.01744,7.620606,36994949015,"3 : 0.3638885, 3 : 0.3388025, 3 : 0.10066465",0,1
10,45.017486,7.619876,35373374531,"5 : 0.24494918, 6 : 0.06650999, 5 : 0.06476616",0,1
11,45.017493,7.620091,33647114396,"6 : 0.50754887, 12 : 0.13742433, 6 : 0.059955858",0,1
12,45.017493,7.620091,33558495651,"5 : 0.48158348, 6 : 0.13141593, 6 : 0.09548953",0,1
13,45.017493,7.620091,33558386951,"6 : 0.13700035, 5 : 0.09811271, 6 : 0.08440367",0,1
14,45.017493,7.620091,33646847906,"5 : 0.5772249, 6 : 0.17410256, 6 : 0.061017353",0,1
15,45.017493,7.620123,41439812061,"5 : 0.20123202, 6 : 0.16432774, 6 : 0.117333606",0,1
16,45.017546,7.620005,34201392476,"12 : 0.2694641, 4 : 0.14495142, 14 : 0.074743286",0,1
17,45.017546,7.620348,40749027371,"6 : 0.18779916, 6 : 0.13656095, 6 : 0.071805574",0,1
18,45.017607,7.619919,40598410771,"4 : 0.87421566, 4 : 0.049668644, 6 : 0.0067482735",0,1
19,45.017683,7.620005,26723114898,"1 : 0.11063243, 11 : 0.07876395, 1 : 0.06363822",0,1
20,45.017698,7.620059,39699650845,"6 : 0.10487356, 5 : 0.09386132, 4 : 0.09327416",0,1
21,45.017736,7.619608,38760026292,"2 : 0.35647708, 4 : 0.115277335, 13 : 0.069204636",0,1
22,45.017759,7.61964,34884253976,"3 : 0.07502196, 5 : 0.036784858, 2 : 0.024813676",0,1
23,45.017774,7.619866,36854610461,"3 : 0.15790758, 6 : 0.09994553, 3 : 0.044769604",0,1
24,45.017789,7.619512,24917446758,"12 : 0.12815802, 2 : 0.119233385, 9 : 0.06030379",0,1
25,45.017819,7.619673,36823877312,"5 : 0.84082437, 14 : 0.102727346, 3 : 0.017266719",0,1
26,45.01785,7.61963,34652885295,"6 : 0.06161531, 5 : 0.059337597, 5 : 0.050808717",0,1
27,45.017857,7.619673,34452605902,"6 : 0.11012212, 3 : 0.076219186, 5 : 0.064893626",0,1
28,45.017857,7.619737,34850384025,"2 : 0.10246463, 2 : 0.07629208, 2 : 0.03659293",0,1
29,45.017865,7.619726,34484164211,"3 : 0.13285603, 6 : 0.053892788, 5 : 0.037466902",0,1
30,45.017888,7.620005,34760881572,"5 : 0.2927744, 5 : 0.039126802, 6 : 0.02649494",0,1
31,45.017918,7.619748,24917517468,"14 : 0.16524948, 3 : 0.16190566, 5 : 0.09567948",0,1
32,45.017918,7.619748,27955597578,"5 : 0.23711163, 3 : 0.17707117, 12 : 0.109373726",0,1
33,45.017971,7.619705,36598040680,"5 : 0.19446838, 6 : 0.08958902, 5 : 0.0445344",0,1
34,45.0181,7.620016,34490118472,"6 : 0.1861004, 6 : 0.1286686, 12 : 0.11725665",0,1
35,45.018108,7.619812,34662663264,"5 : 0.67733186, 6 : 0.087081805, 6 : 0.015139398",0,1
36,45.018115,7.619962,34924692485,"12 : 0.2205184, 6 : 0.18384773, 2 : 0.032694776",0,1
37,45.018136,7.663522,33704732828,"8 : 0.5222711, 8 : 0.1329301, 8 : 0.029587401",0,1
38,45.018138,7.619748,34662669834,"3 : 0.08911522, 3 : 0.08700057, 5 : 0.06481737",0,1
39,45.018138,7.619769,27005206607,"3 : 0.28409034, 5 : 0.15283452, 2 : 0.08430662",0,1
40,45.018153,7.620059,37744916465,"14 : 0.18118992, 3 : 0.045861557, 5 : 0.043690056",0,1
41,45.018172,7.663477,46857814654,"8 : 0.71624255, 8 : 0.057410903, 8 : 0.042163167",0,1
42,45.018183,7.619962,35503991405,"12 : 0.26529008, 9 : 0.06767313, 3 : 0.05055008",0,1
43,45.018191,7.620048,34081597314,"12 : 0.1370594, 2 : 0.08545023, 6 : 0.08369385",0,1
44,45.018199,7.619812,34625832105,"3 : 0.4513472, 6 : 0.13687697, 5 : 0.10543281",0,1
45,45.018229,7.620069,34280547786,"7 : 0.02788519, 6 : 0.02263243, 3 : 0.01831768",0,1
46,45.018244,7.619984,34241731955,"6 : 0.6314404, 7 : 0.020211631, 5 : 0.013013234",0,1
47,45.018305,7.619962,33815779713,"14 : 0.07636543, 3 : 0.026540045, 3 : 0.02010308",0,1
48,45.018366,7.620284,34225704786,"5 : 0.08780373, 6 : 0.043457955, 5 : 0.037502583",0,1
49,45.018692,7.665238,35587719141,"10 : 0.55033356, 7 : 0.15285987, 7 : 0.01923396",0,1
50,45.018692,7.665238,43980513671,"3 : 0.96685743, 7 : 0.006947581, 7 : 0.0068663773",0,1
51,45.018692,7.665238,45811164761,"7 : 0.0370958, 7 : 0.06974024",0,1
52,45.018692,7.665238,45811164351,"13 : 0.10716474, 7 : 0.061056, 4 : 0.05035216",0,1
53,45.018692,7.665238,45811163971,"2 : 0.05443023, 7 : 0.052379273, 7 : 0.05154351",0,1
54,45.018692,7.665238,31940392678,"13 : 0.1569178, 7 : 0.12247803, 13 : 0.111782975",0,1
55,45.018692,7.665238,30871435257,"7 : 0.537553, 7 : 0.088885166, 13 : 0.056365326",0,1
56,45.018692,7.665238,44898247315,"7 : 0.37866804, 13 : 0.16483301, 2 : 0.11175439",0,1
57,45.018692,7.665238,30871434277,"13 : 0.14196645, 7 : 0.09136535, 13 : 0.028742982",0,1
58,45.018692,7.665238,31940389718,"7 : 0.11691847, 10 : 0.15491219",0,1
59,45.018692,7.665238,31940389018,"7 : 0.18226759, 10 : 0.059092302",0,1
60,45.018692,7.665238,45811160541,"7 : 0.46414238, 7 : 0.008044119",0,1
61,45.018692,7.665238,31940387848,"7 : 0.30380923, 7 : 0.27553484, 3 : 0.14866458",0,1
62,45.018692,7.665238,45811157381,"7 : 0.115587056, 7 : 0.023898823",0,1
63,45.018692,7.665238,44898243715,"3 : 0.11194271, 7 : 0.0398023, 9 : 0.039608564",0,1
64,45.018692,7.665238,45811165781,"7 : 0.70998216, 7 : 0.1533261, 7 : 0.014989167",0,1
65,45.018692,7.665238,31940400208,"7 : 0.60382193, 7 : 0.115121044, 7 : 0.033350028",0,1
66,45.018692,7.665238,45811166701,"7 : 0.96535903, 7 : 0.010353254, 10 : 0.00329827",0,1
67,45.018692,7.665238,31940398918,"7 : 0.88343066, 7 : 0.018598355, 7 : 0.009199875",0,1
68,45.018692,7.665238,30871440107,"7 : 0.30555958, 7 : 0.26692486, 7 : 0.06480354",0,1
69,45.018692,7.665238,44898242935,"7 : 0.05870998, 7 : 0.1397825",0,1
70,45.018692,7.665238,31940380378,"7 : 0.20078178, 7 : 0.0070729326",0,1
71,45.018692,7.665238,44951989535,"7 : 0.8191116, 8 : 0.047213007, 13 : 0.019989252",0,1
72,45.018692,7.665238,30920114807,"10 : 0.18897142, 13 : 0.06679236, 13 : 0.06666591",0,1
73,45.018692,7.665238,45783831192,"13 : 0.71091664, 2 : 0.059930418, 13 : 0.023055434",0,1
74,45.018692,7.665238,44016418080,"13 : 0.31162673, 13 : 0.060396016, 13 : 0.03707339",0,1
75,45.018692,7.665238,45108536474,"2 : 0.6695632, 4 : 0.1993147, 13 : 0.024935268",0,1
76,45.018692,7.665238,44016416010,"7 : 0.31757832, 7 : 0.13369092, 7 : 0.021078868",0,1
77,45.018692,7.665238,31962318198,"7 : 0.0935434, 7 : 0.087894835, 7 : 0.049542278",0,1
78,45.018692,7.665238,44016414820,"7 : 0.7887903, 7 : 0.045355264, 4 : 0.025847964",0,1
79,45.018692,7.665238,31993998878,"13 : 0.09321778, 13 : 0.063659884, 13 : 0.029212322",0,1
80,45.018692,7.665238,45140664944,"7 : 0.5161402, 2 : 0.07565852, 7 : 0.057726815",0,1
81,45.018692,7.665238,31993997408,"13 : 0.14660858, 1 : 0.11002398, 7 : 0.10440139",0,1
82,45.018692,7.665238,31993994868,"13 : 0.9999907, 7 : 1.066361e-06, 13 : 6.83229e-07",0,1
83,45.018692,7.665238,44982346385,"8 : 0.66293913, 2 : 0.14376393, 2 : 0.05550282",0,1
84,45.018692,7.665238,44078978030,"8 : 0.8644925, 2 : 0.06382662, 2 : 0.0108415205",0,1
85,45.018692,7.665238,45895416851,"2 : 0.40428025, 2 : 0.20966804, 13 : 0.06087822",0,1
86,45.018692,7.665238,44078976310,"13 : 0.60766804, 13 : 0.085216984, 12 : 0.02731497",0,1
87,45.018692,7.665238,45895415521,"13 : 0.3303392, 13 : 0.053945653, 12 : 0.044589095",0,1
88,45.018692,7.665238,44078975010,"2 : 0.19364588, 2 : 0.18985978, 7 : 0.059680812",0,1
89,45.018692,7.665238,45895414401,"7 : 0.55155885, 7 : 0.055257287, 2 : 0.049985874",0,1
90,45.018692,7.665238,44078973650,"7 : 0.38080257, 7 : 0.18910831, 7 : 0.09042413",0,1
91,45.018692,7.665238,45895413101,"2 : 0.2547796, 7 : 0.19742648, 2 : 0.16512097",0,1
92,45.018692,7.665238,44078972210,"13 : 0.22222263, 7 : 0.08228364, 2 : 0.058052003",0,1
93,45.018692,7.665238,45895411791,"7 : 0.22686234, 2 : 0.06017371, 7 : 0.047389206",0,1
94,45.018692,7.665238,44078970530,"7 : 0.2085621, 7 : 0.20474331, 7 : 0.11107358",0,1
95,45.018692,7.665238,44078969540,"13 : 0.13742578, 13 : 0.030773181, 12 : 0.026027298",0,1
96,45.018692,7.665238,32024271718,"8 : 0.57965815, 7 : 0.12743033, 7 : 0.035158027",0,1
97,45.018692,7.665238,44982346895,"8 : 0.38081017, 2 : 0.052756075, 7 : 0.047740478",0,1
98,45.018692,7.665238,32024270318,"7 : 0.40914017, 7 : 0.16143349, 10 : 0.036662884",0,1
99,45.018692,7.665238,44982346585,"13 : 0.20651211, 2 : 0.066403344, 2 : 0.05822287",0,1
100,45.018692,7.665238,32024269368,"13 : 0.3240775, 2 : 0.13325347, 2 : 0.059247177",0,1
101,45.018692,7.665238,30956328307,"2 : 0.43966463, 6 : 0.070799924, 2 : 0.06944451",0,1
102,45.018692,7.665238,44982346195,"13 : 0.9273608, 13 : 0.014279385, 10 : 0.006656341",0,1
103,45.018692,7.665238,31076669867,"7 : 0.16940875, 7 : 0.07252906, 7 : 0.055566486",0,1
104,45.018692,7.665238,45104061485,"7 : 0.23016736, 7 : 0.094030425, 3 : 0.08635932",0,1
105,45.018692,7.665238,31076669097,"3 : 0.39263386, 7 : 0.120625384, 7 : 0.030491328",0,1
106,45.018692,7.665238,44200081750,"7 : 0.36982203, 7 : 0.08245807, 7 : 0.067558825",0,1
107,45.018692,7.665238,31076667977,"7 : 0.48734006, 7 : 0.07147378, 7 : 0.05198911",0,1
108,45.018692,7.665238,44200056360,"7 : 0.56401384, 3 : 0.116482556, 7 : 0.0313377",0,1
109,45.018692,7.665238,45966120842,"3 : 0.46809006, 7 : 0.36425525, 7 : 0.020467533",0,1
110,45.018692,7.665238,44200073090,"7 : 0.2953977, 7 : 0.1406161, 7 : 0.061899476",0,1
111,45.018692,7.665238,45104046975,"7 : 0.31518704, 3 : 0.28285858, 2 : 0.21483971",0,1
112,45.018692,7.665238,44200070830,"3 : 0.69434094, 7 : 0.07432873, 2 : 0.057214037",0,1
113,45.018692,7.665238,45104043905,"3 : 0.54000324, 2 : 0.4240244, 7 : 0.0060422667",0,1
114,45.018692,7.665238,44200067290,"2 : 0.9924914, 7 : 0.0014011937, 3 : 0.00093909766",0,1
115,45.018692,7.665238,45104041315,"13 : 0.5478312, 9 : 0.021666523, 2 : 0.019256338",0,1
116,45.018692,7.665238,44200063910,"7 : 0.11378738, 4 : 0.075471625, 2 : 0.063609384",0,1
117,45.018692,7.665238,31076645117,"10 : 0.17359117, 7 : 0.1685652, 13 : 0.05802267",0,1
118,45.018692,7.665238,44200061750,"2 : 0.49808323, 7 : 0.08568684, 7 : 0.054159466",0,1
119,45.018692,7.665238,31076643537,"4 : 0.2750864, 7 : 0.15286478, 2 : 0.1315349",0,1
120,45.018692,7.665238,44200058840,"7 : 0.2672834, 7 : 0.1397589, 4 : 0.047582302",0,1
121,45.018692,7.665238,31076641517,"3 : 0.931925, 7 : 0.017956592, 7 : 0.012832214",0,1
122,45.018692,7.665238,44200053860,"13 : 0.06893551, 7 : 0.04382002, 6 : 0.039618265",0,1
123,45.018692,7.665238,45104034675,"4 : 0.20647153, 7 : 0.098691575, 2 : 0.0851322",0,1
124,45.018692,7.665238,31076634407,"3 : 0.2972396, 4 : 0.25895244, 7 : 0.082362905",0,1
125,45.018692,7.665238,31076631217,"2 : 0.32861826, 7 : 0.28003165, 2 : 0.1939743",0,1
126,45.018692,7.665238,45104028935,"7 : 0.15600471, 3 : 0.051064316, 7 : 0.04166238",0,1
127,45.018692,7.665238,32287370418,"13 : 0.86592335, 7 : 0.07990832, 7 : 0.013594981",0,1
128,45.018692,7.665238,31219500707,"7 : 0.1623965, 12 : 0.13229734, 13 : 0.12324249",0,1
129,45.018692,7.665238,31219499877,"7 : 0.72757554, 7 : 0.017427508",0,1
130,45.018692,7.665238,45246479235,"7 : 0.2731993, 7 : 0.25356916, 7 : 0.21256885",0,1
131,45.018692,7.665238,45246478055,"7 : 0.5615072, 4 : 0.18317424, 7 : 0.048971187",0,1
132,45.018692,7.665238,45435040814,"7 : 0.39323196, 3 : 0.24197744, 7 : 0.040270865",0,1
133,45.018692,7.665238,45246475965,"2 : 0.968797, 3 : 0.0056118295, 7 : 0.00530677",0,1
134,45.018692,7.665238,45435038364,"7 : 0.9063839, 3 : 0.033384632, 2 : 0.012155464",0,1
135,45.018692,7.665238,46108130752,"3 : 0.1727006, 7 : 0.0475997, 7 : 0.04206245",0,1
136,45.018692,7.665238,46108129722,"7 : 0.3910183, 7 : 0.16713233, 4 : 0.10135494",0,1
137,45.018692,7.665238,45435036294,"7 : 0.9012529, 7 : 0.009024088, 7 : 0.007203154",0,1
138,45.018692,7.665238,46108128202,"7 : 0.17347357, 7 : 0.08672359, 8 : 0.079118125",0,1
139,45.018692,7.665238,32287391198,"7 : 0.70280105, 7 : 0.036820874, 7 : 0.01935848",0,1
140,45.018692,7.665238,46108126712,"7 : 0.20827013, 7 : 0.14006197, 7 : 0.13631785",0,1
141,45.018692,7.665238,45435034424,"2 : 0.25190082, 7 : 0.15604025, 2 : 0.15267742",0,1
142,45.018692,7.665238,32287387448,"7 : 0.14990228, 7 : 0.10805127",0,1
143,45.018692,7.665238,46108123862,"7 : 0.6339837, 7 : 0.07962864, 7 : 0.071458176",0,1
144,45.018692,7.665238,32287384888,"7 : 0.5185498, 7 : 0.20212242, 7 : 0.07346069",0,1
145,45.018692,7.665238,44341805400,"9 : 0.20015143, 7 : 0.16216812, 7 : 0.16069198",0,1
146,45.018692,7.665238,46108121992,"7 : 0.67330974, 3 : 0.27347866, 7 : 0.013240023",0,1
147,45.018692,7.665238,44341804490,"7 : 0.34863064, 7 : 0.17533994, 3 : 0.057398047",0,1
