,lat,lon,id,predictions
0,45.049602,7.684859,50251892198,"1 : 0.49643677, 11 : 0.17724293, 5 : 0.036265925"
1,45.048169,7.684837,50235509873,"1 : 0.53058434, 11 : 0.24029115, 11 : 0.06389521"
2,45.070141,7.664186,31189398134,"9 : 0.7633668, 4 : 0.18004353, 11 : 0.015316468"
3,45.069974,7.66498,31991734676,"13 : 0.17491175, 13 : 0.046816777, 13 : 0.03844519"
4,45.064533,7.695944,31986986426,"2 : 0.40253395, 11 : 0.08105411, 11 : 0.07949923"
5,45.070307,7.681524,27315041159,"8 : 0.52470815, 9 : 0.13611354, 8 : 0.0509093"
6,45.070307,7.681524,39061893652,"9 : 0.8994998, 1 : 0.034121368, 11 : 0.023250185"
7,45.055991,7.676738,36424149065,"9 : 0.15507764, 9 : 0.13997516, 13 : 0.056092173"
8,45.070527,7.683906,35518247261,"11 : 0.20265737, 11 : 0.13963096, 1 : 0.08831523"
9,45.062478,7.698806,33822906726,"1 : 0.47583404, 8 : 0.12501849, 1 : 0.068496905"
10,45.062409,7.698665,33707703922,"12 : 0.3724631, 1 : 0.12845474, 11 : 0.05521367"
11,45.050361,7.769479,32049617930,"6 : 0.35365966, 6 : 0.156746, 6 : 0.10072069"
12,45.049986,7.68725,32068368796,"5 : 0.53978264, 5 : 0.08769165, 9 : 0.050053474"
13,45.052059,7.685194,32063406986,"6 : 0.53992385, 6 : 0.041831724, 6 : 0.013618345"
14,45.050118,7.685033,31195566254,"6 : 0.25995478, 6 : 0.21644066, 6 : 0.16088922"
15,45.049065,7.684121,31887222322,"9 : 0.3117241, 1 : 0.17834225, 5 : 0.076574534"
16,45.072545,7.68573,45548374264,"7 : 0.2644368, 2 : 0.091894336, 3 : 0.056413747"
17,45.067756,7.681224,32065227762,"9 : 0.35817307, 11 : 0.11612225, 2 : 0.10456521"
18,45.050361,7.769479,32017517512,"6 : 0.30235273, 6 : 0.17040063, 6 : 0.12335702"
19,45.098511,7.735816,31946729032,"13 : 0.8683199, 2 : 0.008062342, 2 : 0.0075285695"
20,45.050361,7.769479,31679460730,"6 : 0.20703262, 6 : 0.11812213, 6 : 0.07093979"
21,45.050361,7.769479,32053759655,"6 : 0.12906472, 6 : 0.034928925, 6 : 0.03310876"
22,45.071575,7.68543,45100115284,"1 : 0.68340874, 1 : 0.09528597, 1 : 0.023973951"
23,45.06442,7.690676,26898182458,"12 : 0.9242635, 2 : 0.009209657, 2 : 0.0056534125"
24,45.050164,7.685376,34103108963,"5 : 0.7323773, 9 : 0.04312278, 6 : 0.020682458"
25,45.050361,7.769479,32936092372,"6 : 0.21033943, 6 : 0.20833287, 6 : 0.11766464"
26,45.067635,7.681095,32545108281,"9 : 0.091305256, 9 : 0.06423674, 7 : 0.030867925"
27,45.067756,7.681224,31800929333,"13 : 0.14401996, 13 : 0.14198111, 1 : 0.093287736"
28,45.050361,7.769479,31741107903,"6 : 0.39542156, 6 : 0.076675855, 6 : 0.0689368"
29,45.050361,7.769479,32109895410,"6 : 0.41763732, 6 : 0.08334227, 6 : 0.06463653"
30,45.050361,7.769479,32010715390,"6 : 0.451683, 6 : 0.05907986, 6 : 0.058489762"
31,45.050361,7.769479,31481327764,"6 : 0.69093746, 6 : 0.113368645, 6 : 0.012897742"
32,45.050361,7.769479,32073028281,"6 : 0.64375454, 6 : 0.07933369, 6 : 0.015268791"
33,45.050361,7.769479,31727687460,"6 : 0.7280833, 6 : 0.03314773, 6 : 0.03149363"
34,45.066655,7.681739,35631740385,"8 : 0.19186227, 8 : 0.18617658, 4 : 0.11201302"
35,45.066655,7.681739,34823087833,"1 : 0.41589245, 1 : 0.2061548, 11 : 0.07892199"
36,45.077816,7.638555,46269408234,"1 : 0.87520903, 11 : 0.03589712, 11 : 0.015423412"
37,45.077816,7.638555,33118065448,"1 : 0.9662951, 1 : 0.0035062183, 12 : 0.0031948967"
