,lat,lng,val
0,45.01,7.67,12
1,45.01,7.68,5
2,45.01,7.66,1
3,45.01,7.62,2
4,45.01,7.63,5
5,45.02,7.67,17
6,45.02,7.63,2
7,45.02,7.62,31
8,45.02,7.66,5
9,45.02,7.68,1
10,45.02,7.65,1
11,45.02,7.64,1
12,45.03,7.67,164
13,45.03,7.66,219
14,45.03,7.69,18
15,45.03,7.63,17
16,45.03,7.65,3
17,45.03,7.64,124
18,45.03,7.68,13
19,45.04,7.67,16
20,45.04,7.66,6
21,45.04,7.65,671
22,45.04,7.68,29
23,45.04,7.64,4
24,45.04,7.69,16
25,45.04,7.63,33
26,45.04,7.7,1
27,45.05,7.65,35
28,45.05,7.68,151
29,45.05,7.69,111
30,45.05,7.62,2
31,45.05,7.7,37
32,45.05,7.67,32
33,45.05,7.72,1
34,45.05,7.64,2
35,45.06,7.69,164
36,45.06,7.67,41
37,45.06,7.68,183
38,45.06,7.63,105
39,45.06,7.7,310
40,45.06,7.66,11
41,45.06,7.71,88
42,45.06,7.65,6
43,45.06,7.64,14
44,45.06,7.62,9
45,45.07,7.67,72
46,45.07,7.69,935
47,45.07,7.7,202
48,45.07,7.68,909
49,45.07,7.66,81
50,45.07,7.71,102
51,45.07,7.64,6
52,45.07,7.63,73
53,45.07,7.65,4
54,45.07,7.72,29
55,45.07,7.73,39
56,45.07,7.62,9
57,45.08,7.68,136
58,45.08,7.69,40
59,45.08,7.73,35
60,45.08,7.67,41
61,45.08,7.66,42
62,45.08,7.74,2
63,45.08,7.71,182
64,45.08,7.64,80
65,45.08,7.72,7
66,45.08,7.65,21
67,45.08,7.63,7
68,45.08,7.77,341
69,45.08,7.7,4
70,45.08,7.76,2
71,45.08,7.75,2
72,45.09,7.68,34
73,45.09,7.67,223
74,45.09,7.66,212
75,45.09,7.65,8
76,45.09,7.64,17
77,45.09,7.69,8
78,45.09,7.7,3
79,45.09,7.74,4
80,45.09,7.73,8
81,45.1,7.73,3
82,45.1,7.66,8
83,45.1,7.69,120
84,45.1,7.64,27
85,45.1,7.67,5
86,45.1,7.68,3
87,45.1,7.74,17
88,45.1,7.72,2
89,45.1,7.65,2
90,45.1,7.71,4
91,45.1,7.7,2
92,45.1,7.63,4
93,45.11,7.7,27
94,45.11,7.68,1
95,45.11,7.64,26
96,45.11,7.71,4
97,45.0,7.68,3
98,45.0,7.67,1
99,45.0,7.69,5
100,45.01,7.64,13
101,45.01,7.65,3
102,45.03,7.62,3
103,45.03,7.61,5
104,45.04,7.71,1
105,45.06,7.61,1
106,45.07,7.61,2
107,45.09,7.63,2
108,45.09,7.71,6
109,45.09,7.72,4
110,45.1,7.62,6
111,45.11,7.66,8
112,45.11,7.67,4
113,45.12,7.71,2
114,45.12,7.63,1
115,45.06,7.6,4
116,45.07,7.6,1
117,45.07,7.58,25
118,45.07,7.59,91
119,45.08,7.59,15
120,45.08,7.58,63
121,45.08,7.6,2
122,45.09,7.58,2
123,45.05,7.6,3
124,45.09,7.6,2
125,45.13,7.63,23
126,45.13,7.62,9
127,45.14,7.62,83
128,45.14,7.63,26
129,45.14,7.61,2
130,45.15,7.61,1
131,45.15,7.62,2
132,45.15,7.6,22
133,45.14,7.76,5
134,45.15,7.77,64
135,45.14,7.75,2
136,45.15,7.74,1
137,45.01,7.61,2
138,45.01,7.6,1
139,45.02,7.74,10
140,45.02,7.76,7
141,45.03,7.75,1
142,45.03,7.6,3
143,45.03,7.71,2
144,45.03,7.58,1
145,45.03,7.72,5
146,45.04,7.6,1
147,45.04,7.77,3
148,45.05,7.77,14
149,45.06,7.74,1
150,45.06,7.76,1
151,45.1,7.58,3
152,45.1,7.59,16
153,45.1,7.76,9
154,45.1,7.6,1
155,45.11,7.76,1
156,45.11,7.77,2
157,45.12,7.77,1
158,45.12,7.59,1
159,45.12,7.74,1
160,45.12,7.62,1
161,45.12,7.6,1
162,45.12,7.61,1
163,45.13,7.74,10
164,45.13,7.67,1
165,45.13,7.77,1
166,45.13,7.71,7
167,45.13,7.76,2
168,45.13,7.75,2
169,45.13,7.72,1
170,45.14,7.74,1
171,45.14,7.73,2
172,45.14,7.58,1
173,45.14,7.65,1
174,45.15,7.59,4
175,45.15,7.66,1
176,45.15,7.65,4
