,lat,lng,val
0,45.01,7.67,11
1,45.01,7.68,5
2,45.01,7.66,1
3,45.01,7.62,2
4,45.01,7.63,4
5,45.02,7.67,-1843
6,45.02,7.63,-3
7,45.02,7.62,28
8,45.02,7.66,-1
9,45.02,7.68,1
10,45.02,7.65,-2
11,45.02,7.64,-3
12,45.03,7.67,-65
13,45.03,7.66,-223
14,45.03,7.69,-7
15,45.03,7.63,9
16,45.03,7.65,-13
17,45.03,7.64,22
18,45.03,7.68,12
19,45.04,7.67,-8
20,45.04,7.66,-13
21,45.04,7.65,311
22,45.04,7.68,-1
23,45.04,7.64,-26
24,45.04,7.69,12
25,45.04,7.63,30
26,45.04,7.7,-8
27,45.05,7.65,18
28,45.05,7.68,67
29,45.05,7.69,38
30,45.05,7.62,0
31,45.05,7.7,34
32,45.05,7.67,15
33,45.05,7.72,0
34,45.05,7.64,-4
35,45.06,7.69,33
36,45.06,7.67,14
37,45.06,7.68,-53
38,45.06,7.63,-410
39,45.06,7.7,117
40,45.06,7.66,-1
41,45.06,7.71,87
42,45.06,7.65,-1610
43,45.06,7.64,11
44,45.06,7.62,9
45,45.07,7.67,-11
46,45.07,7.69,68
47,45.07,7.7,133
48,45.07,7.68,128
49,45.07,7.66,-195
50,45.07,7.71,79
51,45.07,7.64,1
52,45.07,7.63,60
53,45.07,7.65,-1
54,45.07,7.72,12
55,45.07,7.73,39
56,45.07,7.62,-13
57,45.08,7.68,3
58,45.08,7.69,-6
59,45.08,7.73,25
60,45.08,7.67,-4
61,45.08,7.66,35
62,45.08,7.74,2
63,45.08,7.71,180
64,45.08,7.64,10
65,45.08,7.72,1
66,45.08,7.65,17
67,45.08,7.63,6
68,45.08,7.77,241
69,45.08,7.7,-3
70,45.08,7.76,-25
71,45.08,7.75,2
72,45.09,7.68,27
73,45.09,7.67,-176
74,45.09,7.66,135
75,45.09,7.65,4
76,45.09,7.64,0
77,45.09,7.69,0
78,45.09,7.7,3
79,45.09,7.74,4
80,45.09,7.73,4
81,45.1,7.73,3
82,45.1,7.66,1
83,45.1,7.69,-12
84,45.1,7.64,21
85,45.1,7.67,1
86,45.1,7.68,-7
87,45.1,7.74,17
88,45.1,7.72,2
89,45.1,7.65,-4
90,45.1,7.71,4
91,45.1,7.7,-2
92,45.1,7.63,1
93,45.11,7.7,26
94,45.11,7.68,1
95,45.11,7.64,-23
96,45.11,7.71,4
97,45.0,7.68,2
98,45.0,7.67,1
99,45.0,7.69,-14
100,45.01,7.64,11
101,45.01,7.65,1
102,45.03,7.62,-25
103,45.03,7.61,1
104,45.04,7.71,0
105,45.06,7.61,-3
106,45.07,7.61,1
107,45.09,7.63,2
108,45.09,7.71,1
109,45.09,7.72,4
110,45.1,7.62,6
111,45.11,7.66,8
112,45.11,7.67,4
113,45.12,7.71,-8
114,45.12,7.63,0
115,45.06,7.6,4
116,45.07,7.6,0
117,45.07,7.58,14
118,45.07,7.59,89
119,45.08,7.59,1
120,45.08,7.58,52
121,45.08,7.6,2
122,45.09,7.58,1
123,45.05,7.6,0
124,45.09,7.6,2
125,45.13,7.63,-43
126,45.13,7.62,-9
127,45.14,7.62,13
128,45.14,7.63,16
129,45.14,7.61,-6
130,45.15,7.61,0
131,45.15,7.62,2
132,45.15,7.6,21
133,45.14,7.76,3
134,45.15,7.77,64
135,45.14,7.75,2
136,45.15,7.74,1
137,45.01,7.61,-35
138,45.01,7.6,1
139,45.02,7.74,9
140,45.02,7.76,-11
141,45.03,7.75,1
142,45.03,7.6,-11
143,45.03,7.71,2
144,45.03,7.58,1
145,45.03,7.72,-8
146,45.04,7.6,1
147,45.04,7.77,3
148,45.05,7.77,14
149,45.06,7.74,0
150,45.06,7.76,1
151,45.1,7.58,3
152,45.1,7.59,16
153,45.1,7.76,-3
154,45.1,7.6,1
155,45.11,7.76,1
156,45.11,7.77,2
157,45.12,7.77,1
158,45.12,7.59,1
159,45.12,7.74,1
160,45.12,7.62,1
161,45.12,7.6,1
162,45.12,7.61,1
163,45.13,7.74,4
164,45.13,7.67,1
165,45.13,7.77,0
166,45.13,7.71,6
167,45.13,7.76,2
168,45.13,7.75,2
169,45.13,7.72,-1
170,45.14,7.74,1
171,45.14,7.73,2
172,45.14,7.58,1
173,45.14,7.65,1
174,45.15,7.59,4
175,45.15,7.66,1
176,45.15,7.65,4
