,lat,lng,val
0,45.02,7.67,1860
1,45.03,7.66,442
2,45.03,7.67,229
3,45.03,7.65,16
4,45.04,7.67,24
5,45.03,7.64,102
6,45.03,7.63,8
7,45.04,7.63,3
8,45.04,7.65,360
9,45.05,7.65,17
10,45.04,7.66,19
11,45.04,7.68,30
12,45.05,7.68,84
13,45.05,7.69,73
14,45.06,7.68,236
15,45.06,7.69,131
16,45.06,7.7,193
17,45.06,7.67,27
18,45.07,7.69,867
19,45.07,7.7,69
20,45.07,7.68,781
21,45.07,7.65,5
22,45.07,7.66,276
23,45.07,7.67,83
24,45.08,7.68,133
25,45.08,7.67,45
26,45.08,7.69,46
27,45.05,7.67,17
28,45.05,7.7,3
29,45.06,7.65,1616
30,45.07,7.71,23
31,45.08,7.7,7
32,45.08,7.66,7
33,45.09,7.68,7
34,45.09,7.67,399
35,45.05,7.63,1
36,45.06,7.64,3
37,45.06,7.63,515
38,45.05,7.64,6
39,45.05,7.61,48
40,45.06,7.61,4
41,45.06,7.66,12
42,45.07,7.64,5
43,45.08,7.64,70
44,45.08,7.65,4
45,45.08,7.63,1
46,45.08,7.77,100
47,45.08,7.76,27
48,45.09,7.66,77
49,45.1,7.66,7
50,45.1,7.68,10
51,45.1,7.69,132
52,45.11,7.64,49
53,45.13,7.63,66
54,45.13,7.62,18
55,45.14,7.63,10
56,45.14,7.62,70
57,45.14,7.61,8
58,45.0,7.68,1
59,45.0,7.76,2
60,45.0,7.69,19
61,45.0,7.62,1
62,45.01,7.61,37
63,45.01,7.67,1
64,45.01,7.64,2
65,45.01,7.65,2
66,45.01,7.63,1
67,45.02,7.62,3
68,45.02,7.74,1
69,45.02,7.76,18
70,45.02,7.66,6
71,45.02,7.65,3
72,45.02,7.61,1
73,45.02,7.63,5
74,45.02,7.64,4
75,45.03,7.68,1
76,45.03,7.62,28
77,45.03,7.6,14
78,45.03,7.72,13
79,45.03,7.69,25
80,45.03,7.61,4
81,45.04,7.69,4
82,45.04,7.74,1
83,45.04,7.73,2
84,45.04,7.62,5
85,45.04,7.71,1
86,45.04,7.7,9
87,45.04,7.64,30
88,45.05,7.66,5
89,45.05,7.72,1
90,45.05,7.62,2
91,45.05,7.6,3
92,45.05,7.71,1
93,45.05,7.73,1
94,45.06,7.71,1
95,45.06,7.74,1
96,45.06,7.58,2
97,45.06,7.59,1
98,45.07,7.72,17
99,45.07,7.63,13
100,45.07,7.61,1
101,45.07,7.6,1
102,45.07,7.62,22
103,45.07,7.59,2
104,45.07,7.58,11
105,45.08,7.73,10
106,45.08,7.72,6
107,45.08,7.59,14
108,45.08,7.71,2
109,45.08,7.58,11
110,45.09,7.64,17
111,45.09,7.59,1
112,45.09,7.58,1
113,45.09,7.73,4
114,45.09,7.69,8
115,45.09,7.65,4
116,45.09,7.71,5
117,45.1,7.65,6
118,45.1,7.7,4
119,45.1,7.63,3
120,45.1,7.76,12
121,45.1,7.75,2
122,45.1,7.64,6
123,45.1,7.67,4
124,45.11,7.69,1
125,45.11,7.72,5
126,45.11,7.74,1
127,45.11,7.73,6
128,45.11,7.7,1
129,45.12,7.65,1
130,45.12,7.71,10
131,45.12,7.63,1
132,45.13,7.73,1
133,45.13,7.74,6
134,45.13,7.71,1
135,45.13,7.77,1
136,45.13,7.72,2
137,45.14,7.77,1
138,45.14,7.76,2
139,45.15,7.61,1
140,45.15,7.6,1
